"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"1","PopulationDecline","Increased",0.2441,"LifeStage",0.01,"Adult"
"2","PopulationDecline","None",0.5342,"LifeStage",0.01,"Adult"
"3","PopulationDecline","Reduced",0.225,"LifeStage",0.01,"Adult"
"4","Growth","Effect",0.1868,"LifeStage",0.01,"Adult"
"5","Growth","No Effect",0.8191,"LifeStage",0.01,"Adult"
"6","Mortality","Effect",0.1006,"LifeStage",0.01,"Adult"
"7","Mortality","No Effect",0.8996,"LifeStage",0.01,"Adult"
"8","ReproductiveRate","Effect",0.1961,"LifeStage",0.01,"Adult"
"9","ReproductiveRate","No Effect",0.8014,"LifeStage",0.01,"Adult"
"10","PopulationDecline","Increased",0.2366,"LifeStage",0.02,"Adult"
"11","PopulationDecline","None",0.5361,"LifeStage",0.02,"Adult"
"12","PopulationDecline","Reduced",0.2267,"LifeStage",0.02,"Adult"
"13","Growth","Effect",0.178,"LifeStage",0.02,"Adult"
"14","Growth","No Effect",0.8118,"LifeStage",0.02,"Adult"
"15","Mortality","Effect",0.0972,"LifeStage",0.02,"Adult"
"16","Mortality","No Effect",0.8997,"LifeStage",0.02,"Adult"
"17","ReproductiveRate","Effect",0.1975,"LifeStage",0.02,"Adult"
"18","ReproductiveRate","No Effect",0.8117,"LifeStage",0.02,"Adult"
"19","PopulationDecline","Increased",0.2391,"LifeStage",0.03,"Adult"
"20","PopulationDecline","None",0.5391,"LifeStage",0.03,"Adult"
"21","PopulationDecline","Reduced",0.2228,"LifeStage",0.03,"Adult"
"22","Growth","Effect",0.1822,"LifeStage",0.03,"Adult"
"23","Growth","No Effect",0.819,"LifeStage",0.03,"Adult"
"24","Mortality","Effect",0.095,"LifeStage",0.03,"Adult"
"25","Mortality","No Effect",0.8973,"LifeStage",0.03,"Adult"
"26","ReproductiveRate","Effect",0.1911,"LifeStage",0.03,"Adult"
"27","ReproductiveRate","No Effect",0.8119,"LifeStage",0.03,"Adult"
"28","PopulationDecline","Increased",0.2419,"LifeStage",0.04,"Adult"
"29","PopulationDecline","None",0.5351,"LifeStage",0.04,"Adult"
"30","PopulationDecline","Reduced",0.2226,"LifeStage",0.04,"Adult"
"31","Growth","Effect",0.183,"LifeStage",0.04,"Adult"
"32","Growth","No Effect",0.822,"LifeStage",0.04,"Adult"
"33","Mortality","Effect",0.0991,"LifeStage",0.04,"Adult"
"34","Mortality","No Effect",0.8984,"LifeStage",0.04,"Adult"
"35","ReproductiveRate","Effect",0.191,"LifeStage",0.04,"Adult"
"36","ReproductiveRate","No Effect",0.8082,"LifeStage",0.04,"Adult"
"37","PopulationDecline","Increased",0.2428,"LifeStage",0.05,"Adult"
"38","PopulationDecline","None",0.5412,"LifeStage",0.05,"Adult"
"39","PopulationDecline","Reduced",0.2307,"LifeStage",0.05,"Adult"
"40","Growth","Effect",0.1805,"LifeStage",0.05,"Adult"
"41","Growth","No Effect",0.8252,"LifeStage",0.05,"Adult"
"42","Mortality","Effect",0.1,"LifeStage",0.05,"Adult"
"43","Mortality","No Effect",0.9,"LifeStage",0.05,"Adult"
"44","ReproductiveRate","Effect",0.1935,"LifeStage",0.05,"Adult"
"45","ReproductiveRate","No Effect",0.8076,"LifeStage",0.05,"Adult"
"46","PopulationDecline","Increased",0.2422,"LifeStage",0.06,"Adult"
"47","PopulationDecline","None",0.5355,"LifeStage",0.06,"Adult"
"48","PopulationDecline","Reduced",0.2229,"LifeStage",0.06,"Adult"
"49","Growth","Effect",0.1743,"LifeStage",0.06,"Adult"
"50","Growth","No Effect",0.8248,"LifeStage",0.06,"Adult"
"51","Mortality","Effect",0.0933,"LifeStage",0.06,"Adult"
"52","Mortality","No Effect",0.905,"LifeStage",0.06,"Adult"
"53","ReproductiveRate","Effect",0.1915,"LifeStage",0.06,"Adult"
"54","ReproductiveRate","No Effect",0.8146,"LifeStage",0.06,"Adult"
"55","PopulationDecline","Increased",0.2322,"LifeStage",0.07,"Adult"
"56","PopulationDecline","None",0.5371,"LifeStage",0.07,"Adult"
"57","PopulationDecline","Reduced",0.2267,"LifeStage",0.07,"Adult"
"58","Growth","Effect",0.1807,"LifeStage",0.07,"Adult"
"59","Growth","No Effect",0.823,"LifeStage",0.07,"Adult"
"60","Mortality","Effect",0.0996,"LifeStage",0.07,"Adult"
"61","Mortality","No Effect",0.9006,"LifeStage",0.07,"Adult"
"62","ReproductiveRate","Effect",0.1827,"LifeStage",0.07,"Adult"
"63","ReproductiveRate","No Effect",0.8069,"LifeStage",0.07,"Adult"
"64","PopulationDecline","Increased",0.2356,"LifeStage",0.08,"Adult"
"65","PopulationDecline","None",0.5262,"LifeStage",0.08,"Adult"
"66","PopulationDecline","Reduced",0.2295,"LifeStage",0.08,"Adult"
"67","Growth","Effect",0.1797,"LifeStage",0.08,"Adult"
"68","Growth","No Effect",0.8316,"LifeStage",0.08,"Adult"
"69","Mortality","Effect",0.0961,"LifeStage",0.08,"Adult"
"70","Mortality","No Effect",0.9033,"LifeStage",0.08,"Adult"
"71","ReproductiveRate","Effect",0.1868,"LifeStage",0.08,"Adult"
"72","ReproductiveRate","No Effect",0.8091,"LifeStage",0.08,"Adult"
"73","PopulationDecline","Increased",0.247,"LifeStage",0.09,"Adult"
"74","PopulationDecline","None",0.5347,"LifeStage",0.09,"Adult"
"75","PopulationDecline","Reduced",0.2242,"LifeStage",0.09,"Adult"
"76","Growth","Effect",0.1658,"LifeStage",0.09,"Adult"
"77","Growth","No Effect",0.8332,"LifeStage",0.09,"Adult"
"78","Mortality","Effect",0.0941,"LifeStage",0.09,"Adult"
"79","Mortality","No Effect",0.9019,"LifeStage",0.09,"Adult"
"80","ReproductiveRate","Effect",0.192,"LifeStage",0.09,"Adult"
"81","ReproductiveRate","No Effect",0.8146,"LifeStage",0.09,"Adult"
"82","PopulationDecline","Increased",0.2407,"LifeStage",0.1,"Adult"
"83","PopulationDecline","None",0.5302,"LifeStage",0.1,"Adult"
"84","PopulationDecline","Reduced",0.2258,"LifeStage",0.1,"Adult"
"85","Growth","Effect",0.1658,"LifeStage",0.1,"Adult"
