"","Site","MPImpact","MPConc","Mortality","Growth","Reproduction","Development","GrowthRate","differenceRepr","differenceMort","differenceGrowth","differenceDevel"
"1","Treasure Island","Mean","up to 69",0.986626847763861,0.939753822235033,1.00396279230747,0.976364571805864,1.02535589273674,0.0208640732264862,0.0377713194484194,0.0834852280150555,0.047779820916731
"2","Treasure Island","CI.High","up to 69",0.931844519102346,0.858793908993206,0.973988825157006,0.941007358217658,1.02535589273674,0.0500968180351816,0.091198943017537,0.162443094074361,0.0822626905609817
"3","Treasure Island","CI.Low","up to 69",1.02309776536686,1.00793505813496,1.02309776536686,1.01014783124034,1.02535589273674,0.00220228643135483,0.00220228643135483,0.0169900370448722,0.0148319833183114
"4","Treasure Island","Mean","70-358",0.962875062603803,0.859243314737867,0.964224929489808,0.900300660943923,1.02535589273674,0.0596192635941946,0.0609357497972458,0.162004801626008,0.121962757203293
"5","Treasure Island","CI.High","70-358",0.874478975028312,0.761252218755743,0.921728489125289,0.863172788487315,1.02535589273674,0.101064815002782,0.147145902000649,0.257572688518996,0.158172499322696
"6","Treasure Island","CI.Low","70-358",1.02202484717697,0.957500633205036,1.00443216132364,0.935513293696853,1.02535589273674,0.0204063111757722,0.00324867256662968,0.0661772756292396,0.087620893073615
"7","Treasure Island","Mean",">358",0.937182789320558,0.796867843241738,0.922252565276115,0.877620013540713,1.02535589273674,0.100553698663042,0.0859926821904171,0.222837798186494,0.144082537821781
"8","Treasure Island","CI.High",">358",0.900016218579322,0.727742270582874,0.872370006062722,0.829143077956892,1.02535589273674,0.149202718546523,0.122240165629593,0.290253973534513,0.191360693559914
"9","Treasure Island","CI.Low",">358",0.973789801729365,0.866607934506593,0.968834037579127,0.922776252432846,1.02535589273674,0.0551241335403583,0.0502909198383226,0.154822300583302,0.100042961698014
"10","Crystal Cove","Mean","up to 69",0.149689209235675,0.144468836796287,0.15239975827599,0.149008647972326,0.14662570905682,-0.0393795143860625,-0.0208933358178551,0.0147100551083907,-0.0162518492209478
"11","Crystal Cove","CI.High","up to 69",0.141492044831214,0.134214107574543,0.148715409273697,0.144621572958435,0.14662570905682,-0.0142519359689287,0.0350120334191609,0.0846481941135379,0.0136683812905419
"12","Crystal Cove","CI.Low","up to 69",0.154735079923473,0.152886808537414,0.154735079923473,0.153155989075392,0.14662570905682,-0.0553066097263387,-0.0553066097263387,-0.042701239236073,-0.0445370737545186
"13","Crystal Cove","Mean","70-358",0.144980652130803,0.134271472254062,0.147507970870431,0.139505275792949,0.14662570905682,-0.00601710177080393,0.0112194303209115,0.0842569620445633,0.0485619698596763
"14","Crystal Cove","CI.High","70-358",0.131936842894307,0.121368055572125,0.142207689515767,0.134770128781388,0.14662570905682,0.0301312748594545,0.100179335922736,0.172259378298435,0.0808560814586602
"15","Crystal Cove","CI.Low","70-358",0.154480637407686,0.146675991757083,0.152457193937171,0.14393529776507,0.14662570905682,-0.0397712305561063,-0.0535712897921731,-0.000342932358768583,0.0183488373836771
"16","Crystal Cove","Mean",">358",0.141253590601001,0.126134084012544,0.142273522817482,0.136621002480603,0.14662570905682,0.029682286055655,0.0366383118647848,0.139754652687378,0.0682329629679038
"17","Crystal Cove","CI.High",">358",0.134867206204242,0.116796934376425,0.135949675793052,0.130364962657506,0.14662570905682,0.072811468960271,0.0801940050501059,0.203434819666148,0.110899694902844
"18","Crystal Cove","CI.Low",">358",0.147547512825327,0.135216636392517,0.148078409876796,0.142339295065185,0.14662570905682,-0.00990754506368853,-0.00628678131848065,0.0778108609853789,0.0292337136454978
"19","Shaws Cove","Mean","up to 69",0.951181521529105,0.905630534887427,0.967878875715588,0.941121804528618,0.986888239117081,0.0192619211051696,0.0361811157258509,0.0823372911023347,0.0463744857567746
"20","Shaws Cove","CI.High","up to 69",0.898346639630607,0.827161448272569,0.93881855591921,0.906845172726451,0.986888239117081,0.0487083352425768,0.0897179599238996,0.161848915118708,0.0811065156296122
"21","Shaws Cove","CI.Low","up to 69",0.986431677629063,0.971730501016785,0.986431677629063,0.973875650832107,0.986888239117081,0.000462627347171887,0.000462627347171887,0.0153591232517438,0.0131854730547965
"22","Shaws Cove","Mean","70-358",0.928485441736396,0.827596921649549,0.929352772823726,0.867387471126742,0.986888239117081,0.0582998803844584,0.0591787348007464,0.161407656058443,0.121088450802951
"23","Shaws Cove","CI.High","70-358",0.843199296226346,0.732666609303039,0.888157110762163,0.831404439613765,0.986888239117081,0.100042866498488,0.145597988906309,0.257599209046692,0.157549551550457
"24","Shaws Cove","CI.Low","70-358",0.985414104084405,0.922834215407189,0.968333954788196,0.901519351387513,0.986888239117081,0.018800795868724,0.00149372033655521,0.0649050431153158,0.0865030956351686
"25","Shaws Cove","Mean",">358",0.903685543556386,0.767162085370501,0.888665109923553,0.84540546289762,0.986888239117081,0.0995281180789052,0.0843081235167342,0.222645427351691,0.143362511185703
"26","Shaws Cove","CI.High",">358",0.867988223852136,0.700221300740156,0.840317489655107,0.79842991010516,0.986888239117081,0.148518083053765,0.12047971649892,0.290475584786978,0.190962179446504
"27","Shaws Cove","CI.Low",">358",0.938841751082781,0.834733777794955,0.933821122818017,0.889172732976103,0.986888239117081,0.0537721640563276,0.0486848319089149,0.154175979904524,0.0990137507651317
