"","marine_site_name","site_lat","site_long"
"1","Crystal Cove",33.57078171,-117.83773
"2","Dana Point",33.4598999,-117.71475
"3","Shaws Cove",33.54476929,-117.79941
"4","Treasure Island",33.51335144,-117.75793
