"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"1","PopulationDecline","Increased",0.2517,"SeaSurfaceTemp",0.01,"Effect"
"2","PopulationDecline","None",0.5389,"SeaSurfaceTemp",0.01,"Effect"
"3","PopulationDecline","Reduced",0.2331,"SeaSurfaceTemp",0.01,"Effect"
"4","Growth","Effect",0.199,"SeaSurfaceTemp",0.01,"Effect"
"5","Growth","No Effect",0.8071,"SeaSurfaceTemp",0.01,"Effect"
"6","Mortality","Effect",0.0942,"SeaSurfaceTemp",0.01,"Effect"
"7","Mortality","No Effect",0.9092,"SeaSurfaceTemp",0.01,"Effect"
"8","ReproductiveRate","Effect",0.1914,"SeaSurfaceTemp",0.01,"Effect"
"9","ReproductiveRate","No Effect",0.8101,"SeaSurfaceTemp",0.01,"Effect"
"10","PopulationDecline","Increased",0.2391,"SeaSurfaceTemp",0.02,"Effect"
"11","PopulationDecline","None",0.5295,"SeaSurfaceTemp",0.02,"Effect"
"12","PopulationDecline","Reduced",0.2232,"SeaSurfaceTemp",0.02,"Effect"
"13","Growth","Effect",0.203,"SeaSurfaceTemp",0.02,"Effect"
"14","Growth","No Effect",0.7977,"SeaSurfaceTemp",0.02,"Effect"
"15","Mortality","Effect",0.0864,"SeaSurfaceTemp",0.02,"Effect"
"16","Mortality","No Effect",0.9087,"SeaSurfaceTemp",0.02,"Effect"
"17","ReproductiveRate","Effect",0.1941,"SeaSurfaceTemp",0.02,"Effect"
"18","ReproductiveRate","No Effect",0.8054,"SeaSurfaceTemp",0.02,"Effect"
"19","PopulationDecline","Increased",0.2478,"SeaSurfaceTemp",0.03,"Effect"
"20","PopulationDecline","None",0.5327,"SeaSurfaceTemp",0.03,"Effect"
"21","PopulationDecline","Reduced",0.2332,"SeaSurfaceTemp",0.03,"Effect"
"22","Growth","Effect",0.2085,"SeaSurfaceTemp",0.03,"Effect"
"23","Growth","No Effect",0.8011,"SeaSurfaceTemp",0.03,"Effect"
"24","Mortality","Effect",0.0924,"SeaSurfaceTemp",0.03,"Effect"
"25","Mortality","No Effect",0.9102,"SeaSurfaceTemp",0.03,"Effect"
"26","ReproductiveRate","Effect",0.1906,"SeaSurfaceTemp",0.03,"Effect"
"27","ReproductiveRate","No Effect",0.8055,"SeaSurfaceTemp",0.03,"Effect"
"28","PopulationDecline","Increased",0.2348,"SeaSurfaceTemp",0.04,"Effect"
"29","PopulationDecline","None",0.5369,"SeaSurfaceTemp",0.04,"Effect"
"30","PopulationDecline","Reduced",0.2165,"SeaSurfaceTemp",0.04,"Effect"
"31","Growth","Effect",0.207,"SeaSurfaceTemp",0.04,"Effect"
"32","Growth","No Effect",0.7956,"SeaSurfaceTemp",0.04,"Effect"
"33","Mortality","Effect",0.0882,"SeaSurfaceTemp",0.04,"Effect"
"34","Mortality","No Effect",0.9103,"SeaSurfaceTemp",0.04,"Effect"
"35","ReproductiveRate","Effect",0.1948,"SeaSurfaceTemp",0.04,"Effect"
"36","ReproductiveRate","No Effect",0.8085,"SeaSurfaceTemp",0.04,"Effect"
"37","PopulationDecline","Increased",0.2439,"SeaSurfaceTemp",0.05,"Effect"
"38","PopulationDecline","None",0.5245,"SeaSurfaceTemp",0.05,"Effect"
"39","PopulationDecline","Reduced",0.2282,"SeaSurfaceTemp",0.05,"Effect"
"40","Growth","Effect",0.2064,"SeaSurfaceTemp",0.05,"Effect"
"41","Growth","No Effect",0.7984,"SeaSurfaceTemp",0.05,"Effect"
"42","Mortality","Effect",0.0936,"SeaSurfaceTemp",0.05,"Effect"
"43","Mortality","No Effect",0.9096,"SeaSurfaceTemp",0.05,"Effect"
"44","ReproductiveRate","Effect",0.198,"SeaSurfaceTemp",0.05,"Effect"
"45","ReproductiveRate","No Effect",0.7998,"SeaSurfaceTemp",0.05,"Effect"
"46","PopulationDecline","Increased",0.2409,"SeaSurfaceTemp",0.06,"Effect"
"47","PopulationDecline","None",0.5228,"SeaSurfaceTemp",0.06,"Effect"
"48","PopulationDecline","Reduced",0.239,"SeaSurfaceTemp",0.06,"Effect"
"49","Growth","Effect",0.1953,"SeaSurfaceTemp",0.06,"Effect"
"50","Growth","No Effect",0.7964,"SeaSurfaceTemp",0.06,"Effect"
"51","Mortality","Effect",0.0953,"SeaSurfaceTemp",0.06,"Effect"
"52","Mortality","No Effect",0.9089,"SeaSurfaceTemp",0.06,"Effect"
"53","ReproductiveRate","Effect",0.1989,"SeaSurfaceTemp",0.06,"Effect"
"54","ReproductiveRate","No Effect",0.8039,"SeaSurfaceTemp",0.06,"Effect"
"55","PopulationDecline","Increased",0.2387,"SeaSurfaceTemp",0.07,"Effect"
"56","PopulationDecline","None",0.53,"SeaSurfaceTemp",0.07,"Effect"
"57","PopulationDecline","Reduced",0.2248,"SeaSurfaceTemp",0.07,"Effect"
"58","Growth","Effect",0.1992,"SeaSurfaceTemp",0.07,"Effect"
