"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"1","PopulationDecline","Increased",0.2328,"MPConc_SST",0.01,"Over 358/Effect"
"2","PopulationDecline","None",0.5495,"MPConc_SST",0.01,"Over 358/Effect"
"3","PopulationDecline","Reduced",0.2203,"MPConc_SST",0.01,"Over 358/Effect"
"4","Growth","Effect",0.2274,"MPConc_SST",0.01,"Over 358/Effect"
"5","Growth","No Effect",0.7683,"MPConc_SST",0.01,"Over 358/Effect"
"6","Mortality","Effect",0.1088,"MPConc_SST",0.01,"Over 358/Effect"
"7","Mortality","No Effect",0.8955,"MPConc_SST",0.01,"Over 358/Effect"
"8","ReproductiveRate","Effect",0.1963,"MPConc_SST",0.01,"Over 358/Effect"
"9","ReproductiveRate","No Effect",0.7942,"MPConc_SST",0.01,"Over 358/Effect"
"10","PopulationDecline","Increased",0.2334,"MPConc_SST",0.02,"Over 358/Effect"
"11","PopulationDecline","None",0.5488,"MPConc_SST",0.02,"Over 358/Effect"
"12","PopulationDecline","Reduced",0.2186,"MPConc_SST",0.02,"Over 358/Effect"
"13","Growth","Effect",0.236,"MPConc_SST",0.02,"Over 358/Effect"
"14","Growth","No Effect",0.7763,"MPConc_SST",0.02,"Over 358/Effect"
"15","Mortality","Effect",0.1035,"MPConc_SST",0.02,"Over 358/Effect"
"16","Mortality","No Effect",0.8931,"MPConc_SST",0.02,"Over 358/Effect"
"17","ReproductiveRate","Effect",0.1962,"MPConc_SST",0.02,"Over 358/Effect"
"18","ReproductiveRate","No Effect",0.7965,"MPConc_SST",0.02,"Over 358/Effect"
"19","PopulationDecline","Increased",0.2351,"MPConc_SST",0.03,"Over 358/Effect"
"20","PopulationDecline","None",0.5442,"MPConc_SST",0.03,"Over 358/Effect"
"21","PopulationDecline","Reduced",0.2162,"MPConc_SST",0.03,"Over 358/Effect"
"22","Growth","Effect",0.2349,"MPConc_SST",0.03,"Over 358/Effect"
"23","Growth","No Effect",0.7728,"MPConc_SST",0.03,"Over 358/Effect"
"24","Mortality","Effect",0.107,"MPConc_SST",0.03,"Over 358/Effect"
"25","Mortality","No Effect",0.89,"MPConc_SST",0.03,"Over 358/Effect"
"26","ReproductiveRate","Effect",0.2062,"MPConc_SST",0.03,"Over 358/Effect"
"27","ReproductiveRate","No Effect",0.7939,"MPConc_SST",0.03,"Over 358/Effect"
"28","PopulationDecline","Increased",0.2354,"MPConc_SST",0.04,"Over 358/Effect"
"29","PopulationDecline","None",0.5355,"MPConc_SST",0.04,"Over 358/Effect"
"30","PopulationDecline","Reduced",0.2104,"MPConc_SST",0.04,"Over 358/Effect"
"31","Growth","Effect",0.2276,"MPConc_SST",0.04,"Over 358/Effect"
"32","Growth","No Effect",0.7685,"MPConc_SST",0.04,"Over 358/Effect"
"33","Mortality","Effect",0.1028,"MPConc_SST",0.04,"Over 358/Effect"
"34","Mortality","No Effect",0.8981,"MPConc_SST",0.04,"Over 358/Effect"
"35","ReproductiveRate","Effect",0.2014,"MPConc_SST",0.04,"Over 358/Effect"
"36","ReproductiveRate","No Effect",0.7956,"MPConc_SST",0.04,"Over 358/Effect"
"37","PopulationDecline","Increased",0.2353,"MPConc_SST",0.05,"Over 358/Effect"
"38","PopulationDecline","None",0.5461,"MPConc_SST",0.05,"Over 358/Effect"
"39","PopulationDecline","Reduced",0.2193,"MPConc_SST",0.05,"Over 358/Effect"
"40","Growth","Effect",0.2372,"MPConc_SST",0.05,"Over 358/Effect"
"41","Growth","No Effect",0.7647,"MPConc_SST",0.05,"Over 358/Effect"
"42","Mortality","Effect",0.1096,"MPConc_SST",0.05,"Over 358/Effect"
"43","Mortality","No Effect",0.8942,"MPConc_SST",0.05,"Over 358/Effect"
"44","ReproductiveRate","Effect",0.2048,"MPConc_SST",0.05,"Over 358/Effect"
"45","ReproductiveRate","No Effect",0.7934,"MPConc_SST",0.05,"Over 358/Effect"
"46","PopulationDecline","Increased",0.2365,"MPConc_SST",0.06,"Over 358/Effect"
"47","PopulationDecline","None",0.5464,"MPConc_SST",0.06,"Over 358/Effect"
"48","PopulationDecline","Reduced",0.2229,"MPConc_SST",0.06,"Over 358/Effect"
"49","Growth","Effect",0.2338,"MPConc_SST",0.06,"Over 358/Effect"
"50","Growth","No Effect",0.7626,"MPConc_SST",0.06,"Over 358/Effect"
"51","Mortality","Effect",0.1103,"MPConc_SST",0.06,"Over 358/Effect"
"52","Mortality","No Effect",0.8905,"MPConc_SST",0.06,"Over 358/Effect"
"53","ReproductiveRate","Effect",0.1991,"MPConc_SST",0.06,"Over 358/Effect"
"54","ReproductiveRate","No Effect",0.7989,"MPConc_SST",0.06,"Over 358/Effect"
"55","PopulationDecline","Increased",0.2314,"MPConc_SST",0.07,"Over 358/Effect"
"56","PopulationDecline","None",0.5453,"MPConc_SST",0.07,"Over 358/Effect"
"57","PopulationDecline","Reduced",0.22,"MPConc_SST",0.07,"Over 358/Effect"
"58","Growth","Effect",0.2287,"MPConc_SST",0.07,"Over 358/Effect"
"59","Growth","No Effect",0.7585,"MPConc_SST",0.07,"Over 358/Effect"
"60","Mortality","Effect",0.1078,"MPConc_SST",0.07,"Over 358/Effect"
"61","Mortality","No Effect",0.8903,"MPConc_SST",0.07,"Over 358/Effect"
"62","ReproductiveRate","Effect",0.202,"MPConc_SST",0.07,"Over 358/Effect"
