"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"1","PopulationDecline","Increased",0.2427,"MPConc",0.01,"Over 358"
"2","PopulationDecline","None",0.5403,"MPConc",0.01,"Over 358"
"3","PopulationDecline","Reduced",0.2223,"MPConc",0.01,"Over 358"
"4","Growth","Effect",0.2296,"MPConc",0.01,"Over 358"
"5","Growth","No Effect",0.7729,"MPConc",0.01,"Over 358"
"6","Mortality","Effect",0.099,"MPConc",0.01,"Over 358"
"7","Mortality","No Effect",0.9002,"MPConc",0.01,"Over 358"
"8","ReproductiveRate","Effect",0.2028,"MPConc",0.01,"Over 358"
"9","ReproductiveRate","No Effect",0.7941,"MPConc",0.01,"Over 358"
"10","PopulationDecline","Increased",0.2383,"MPConc",0.02,"Over 358"
"11","PopulationDecline","None",0.5441,"MPConc",0.02,"Over 358"
"12","PopulationDecline","Reduced",0.2207,"MPConc",0.02,"Over 358"
"13","Growth","Effect",0.2298,"MPConc",0.02,"Over 358"
"14","Growth","No Effect",0.769,"MPConc",0.02,"Over 358"
"15","Mortality","Effect",0.1064,"MPConc",0.02,"Over 358"
"16","Mortality","No Effect",0.8999,"MPConc",0.02,"Over 358"
"17","ReproductiveRate","Effect",0.1989,"MPConc",0.02,"Over 358"
"18","ReproductiveRate","No Effect",0.7985,"MPConc",0.02,"Over 358"
"19","PopulationDecline","Increased",0.2338,"MPConc",0.03,"Over 358"
"20","PopulationDecline","None",0.5449,"MPConc",0.03,"Over 358"
"21","PopulationDecline","Reduced",0.2173,"MPConc",0.03,"Over 358"
"22","Growth","Effect",0.231,"MPConc",0.03,"Over 358"
"23","Growth","No Effect",0.7643,"MPConc",0.03,"Over 358"
"24","Mortality","Effect",0.1044,"MPConc",0.03,"Over 358"
"25","Mortality","No Effect",0.8999,"MPConc",0.03,"Over 358"
"26","ReproductiveRate","Effect",0.1977,"MPConc",0.03,"Over 358"
"27","ReproductiveRate","No Effect",0.7944,"MPConc",0.03,"Over 358"
"28","PopulationDecline","Increased",0.2364,"MPConc",0.04,"Over 358"
"29","PopulationDecline","None",0.5458,"MPConc",0.04,"Over 358"
"30","PopulationDecline","Reduced",0.2214,"MPConc",0.04,"Over 358"
"31","Growth","Effect",0.2368,"MPConc",0.04,"Over 358"
"32","Growth","No Effect",0.7638,"MPConc",0.04,"Over 358"
"33","Mortality","Effect",0.0987,"MPConc",0.04,"Over 358"
"34","Mortality","No Effect",0.8995,"MPConc",0.04,"Over 358"
"35","ReproductiveRate","Effect",0.2117,"MPConc",0.04,"Over 358"
"36","ReproductiveRate","No Effect",0.7942,"MPConc",0.04,"Over 358"
"37","PopulationDecline","Increased",0.2425,"MPConc",0.05,"Over 358"
"38","PopulationDecline","None",0.5459,"MPConc",0.05,"Over 358"
"39","PopulationDecline","Reduced",0.2244,"MPConc",0.05,"Over 358"
"40","Growth","Effect",0.2276,"MPConc",0.05,"Over 358"
"41","Growth","No Effect",0.7707,"MPConc",0.05,"Over 358"
"42","Mortality","Effect",0.1017,"MPConc",0.05,"Over 358"
"43","Mortality","No Effect",0.899,"MPConc",0.05,"Over 358"
"44","ReproductiveRate","Effect",0.2037,"MPConc",0.05,"Over 358"
"45","ReproductiveRate","No Effect",0.789,"MPConc",0.05,"Over 358"
"46","PopulationDecline","Increased",0.2402,"MPConc",0.06,"Over 358"
"47","PopulationDecline","None",0.5371,"MPConc",0.06,"Over 358"
"48","PopulationDecline","Reduced",0.2244,"MPConc",0.06,"Over 358"
"49","Growth","Effect",0.2365,"MPConc",0.06,"Over 358"
"50","Growth","No Effect",0.7646,"MPConc",0.06,"Over 358"
"51","Mortality","Effect",0.1049,"MPConc",0.06,"Over 358"
"52","Mortality","No Effect",0.8977,"MPConc",0.06,"Over 358"
"53","ReproductiveRate","Effect",0.2073,"MPConc",0.06,"Over 358"
"54","ReproductiveRate","No Effect",0.7964,"MPConc",0.06,"Over 358"
"55","PopulationDecline","Increased",0.2315,"MPConc",0.07,"Over 358"
"56","PopulationDecline","None",0.5521,"MPConc",0.07,"Over 358"
"57","PopulationDecline","Reduced",0.219,"MPConc",0.07,"Over 358"
"58","Growth","Effect",0.2362,"MPConc",0.07,"Over 358"
"59","Growth","No Effect",0.7724,"MPConc",0.07,"Over 358"
"60","Mortality","Effect",0.1023,"MPConc",0.07,"Over 358"
"61","Mortality","No Effect",0.8969,"MPConc",0.07,"Over 358"
"62","ReproductiveRate","Effect",0.207,"MPConc",0.07,"Over 358"
"63","ReproductiveRate","No Effect",0.7951,"MPConc",0.07,"Over 358"
"64","PopulationDecline","Increased",0.2326,"MPConc",0.08,"Over 358"
"65","PopulationDecline","None",0.5491,"MPConc",0.08,"Over 358"
"66","PopulationDecline","Reduced",0.2217,"MPConc",0.08,"Over 358"
"67","Growth","Effect",0.2391,"MPConc",0.08,"Over 358"
"68","Growth","No Effect",0.7628,"MPConc",0.08,"Over 358"
"69","Mortality","Effect",0.1025,"MPConc",0.08,"Over 358"
"70","Mortality","No Effect",0.896,"MPConc",0.08,"Over 358"
"71","ReproductiveRate","Effect",0.2061,"MPConc",0.08,"Over 358"
"72","ReproductiveRate","No Effect",0.7889,"MPConc",0.08,"Over 358"
"73","PopulationDecline","Increased",0.2301,"MPConc",0.09,"Over 358"
"74","PopulationDecline","None",0.5373,"MPConc",0.09,"Over 358"
