"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"198","ReproductiveRate","No Effect",0.7888,"MPConc_SST_AT",0.22,"Over 358_Effect"
"199","PopulationDecline","Increased",0.2351,"MPConc_SST_AT",0.23,"Over 358_Effect"
"200","PopulationDecline","None",0.5521,"MPConc_SST_AT",0.23,"Over 358_Effect"
"201","PopulationDecline","Reduced",0.2161,"MPConc_SST_AT",0.23,"Over 358_Effect"
"202","Growth","Effect",0.2522,"MPConc_SST_AT",0.23,"Over 358_Effect"
"203","Growth","No Effect",0.7612,"MPConc_SST_AT",0.23,"Over 358_Effect"
"204","Mortality","Effect",0.1116,"MPConc_SST_AT",0.23,"Over 358_Effect"
"205","Mortality","No Effect",0.8896,"MPConc_SST_AT",0.23,"Over 358_Effect"
"206","ReproductiveRate","Effect",0.2192,"MPConc_SST_AT",0.23,"Over 358_Effect"
"207","ReproductiveRate","No Effect",0.7826,"MPConc_SST_AT",0.23,"Over 358_Effect"
"208","PopulationDecline","Increased",0.2292,"MPConc_SST_AT",0.24,"Over 358_Effect"
"209","PopulationDecline","None",0.5527,"MPConc_SST_AT",0.24,"Over 358_Effect"
"210","PopulationDecline","Reduced",0.2182,"MPConc_SST_AT",0.24,"Over 358_Effect"
"211","Growth","Effect",0.2451,"MPConc_SST_AT",0.24,"Over 358_Effect"
"212","Growth","No Effect",0.7601,"MPConc_SST_AT",0.24,"Over 358_Effect"
"213","Mortality","Effect",0.1069,"MPConc_SST_AT",0.24,"Over 358_Effect"
"214","Mortality","No Effect",0.8839,"MPConc_SST_AT",0.24,"Over 358_Effect"
"215","ReproductiveRate","Effect",0.2162,"MPConc_SST_AT",0.24,"Over 358_Effect"
"216","ReproductiveRate","No Effect",0.7818,"MPConc_SST_AT",0.24,"Over 358_Effect"
"217","PopulationDecline","Increased",0.2333,"MPConc_SST_AT",0.25,"Over 358_Effect"
"218","PopulationDecline","None",0.553,"MPConc_SST_AT",0.25,"Over 358_Effect"
"219","PopulationDecline","Reduced",0.2161,"MPConc_SST_AT",0.25,"Over 358_Effect"
"220","Growth","Effect",0.2371,"MPConc_SST_AT",0.25,"Over 358_Effect"
"221","Growth","No Effect",0.7445,"MPConc_SST_AT",0.25,"Over 358_Effect"
"222","Mortality","Effect",0.1181,"MPConc_SST_AT",0.25,"Over 358_Effect"
"223","Mortality","No Effect",0.8869,"MPConc_SST_AT",0.25,"Over 358_Effect"
"224","ReproductiveRate","Effect",0.219,"MPConc_SST_AT",0.25,"Over 358_Effect"
"225","ReproductiveRate","No Effect",0.7792,"MPConc_SST_AT",0.25,"Over 358_Effect"
"226","PopulationDecline","Increased",0.2297,"MPConc_SST_AT",0.26,"Over 358_Effect"
"227","PopulationDecline","None",0.5536,"MPConc_SST_AT",0.26,"Over 358_Effect"
"228","PopulationDecline","Reduced",0.215,"MPConc_SST_AT",0.26,"Over 358_Effect"
"229","Growth","Effect",0.242,"MPConc_SST_AT",0.26,"Over 358_Effect"
"230","Growth","No Effect",0.7586,"MPConc_SST_AT",0.26,"Over 358_Effect"
"231","Mortality","Effect",0.114,"MPConc_SST_AT",0.26,"Over 358_Effect"
"232","Mortality","No Effect",0.8939,"MPConc_SST_AT",0.26,"Over 358_Effect"
"233","ReproductiveRate","Effect",0.2116,"MPConc_SST_AT",0.26,"Over 358_Effect"
"234","ReproductiveRate","No Effect",0.7799,"MPConc_SST_AT",0.26,"Over 358_Effect"
"235","PopulationDecline","Increased",0.232,"MPConc_SST_AT",0.27,"Over 358_Effect"
"236","PopulationDecline","None",0.5562,"MPConc_SST_AT",0.27,"Over 358_Effect"
"237","PopulationDecline","Reduced",0.22,"MPConc_SST_AT",0.27,"Over 358_Effect"
"238","Growth","Effect",0.2443,"MPConc_SST_AT",0.27,"Over 358_Effect"
"239","Growth","No Effect",0.7591,"MPConc_SST_AT",0.27,"Over 358_Effect"
"240","Mortality","Effect",0.1065,"MPConc_SST_AT",0.27,"Over 358_Effect"
"241","Mortality","No Effect",0.8906,"MPConc_SST_AT",0.27,"Over 358_Effect"
"242","ReproductiveRate","Effect",0.2127,"MPConc_SST_AT",0.27,"Over 358_Effect"
"243","ReproductiveRate","No Effect",0.7832,"MPConc_SST_AT",0.27,"Over 358_Effect"
"244","PopulationDecline","Increased",0.2276,"MPConc_SST_AT",0.28,"Over 358_Effect"
"245","PopulationDecline","None",0.5511,"MPConc_SST_AT",0.28,"Over 358_Effect"
"246","PopulationDecline","Reduced",0.2177,"MPConc_SST_AT",0.28,"Over 358_Effect"
"247","Growth","Effect",0.2492,"MPConc_SST_AT",0.28,"Over 358_Effect"
"248","Growth","No Effect",0.757,"MPConc_SST_AT",0.28,"Over 358_Effect"
"249","Mortality","Effect",0.1109,"MPConc_SST_AT",0.28,"Over 358_Effect"
"250","Mortality","No Effect",0.8881,"MPConc_SST_AT",0.28,"Over 358_Effect"
"251","ReproductiveRate","Effect",0.2142,"MPConc_SST_AT",0.28,"Over 358_Effect"
"252","ReproductiveRate","No Effect",0.7824,"MPConc_SST_AT",0.28,"Over 358_Effect"
"253","PopulationDecline","Increased",0.2247,"MPConc_SST_AT",0.29,"Over 358_Effect"
"254","PopulationDecline","None",0.546,"MPConc_SST_AT",0.29,"Over 358_Effect"
"255","PopulationDecline","Reduced",0.2176,"MPConc_SST_AT",0.29,"Over 358_Effect"
"256","Growth","Effect",0.2394,"MPConc_SST_AT",0.29,"Over 358_Effect"
"257","Growth","No Effect",0.7547,"MPConc_SST_AT",0.29,"Over 358_Effect"
"258","Mortality","Effect",0.1141,"MPConc_SST_AT",0.29,"Over 358_Effect"
"259","Mortality","No Effect",0.8811,"MPConc_SST_AT",0.29,"Over 358_Effect"
"260","ReproductiveRate","Effect",0.2265,"MPConc_SST_AT",0.29,"Over 358_Effect"
"261","ReproductiveRate","No Effect",0.7802,"MPConc_SST_AT",0.29,"Over 358_Effect"
"262","PopulationDecline","Increased",0.2293,"MPConc_SST_AT",0.3,"Over 358_Effect"
"263","PopulationDecline","None",0.553,"MPConc_SST_AT",0.3,"Over 358_Effect"
"264","PopulationDecline","Reduced",0.213,"MPConc_SST_AT",0.3,"Over 358_Effect"
"265","Growth","Effect",0.2451,"MPConc_SST_AT",0.3,"Over 358_Effect"
"266","Growth","No Effect",0.7542,"MPConc_SST_AT",0.3,"Over 358_Effect"
"267","Mortality","Effect",0.1105,"MPConc_SST_AT",0.3,"Over 358_Effect"
"268","Mortality","No Effect",0.8791,"MPConc_SST_AT",0.3,"Over 358_Effect"
"269","ReproductiveRate","Effect",0.2213,"MPConc_SST_AT",0.3,"Over 358_Effect"
"270","ReproductiveRate","No Effect",0.7757,"MPConc_SST_AT",0.3,"Over 358_Effect"
"271","PopulationDecline","Increased",0.2302,"MPConc_SST_AT",0.31,"Over 358_Effect"
"272","PopulationDecline","None",0.5515,"MPConc_SST_AT",0.31,"Over 358_Effect"
"273","PopulationDecline","Reduced",0.2226,"MPConc_SST_AT",0.31,"Over 358_Effect"
"274","Growth","Effect",0.2511,"MPConc_SST_AT",0.31,"Over 358_Effect"
"275","Growth","No Effect",0.7522,"MPConc_SST_AT",0.31,"Over 358_Effect"
"276","Mortality","Effect",0.1146,"MPConc_SST_AT",0.31,"Over 358_Effect"
"277","Mortality","No Effect",0.8894,"MPConc_SST_AT",0.31,"Over 358_Effect"
"278","ReproductiveRate","Effect",0.2223,"MPConc_SST_AT",0.31,"Over 358_Effect"
"279","ReproductiveRate","No Effect",0.7814,"MPConc_SST_AT",0.31,"Over 358_Effect"
"280","PopulationDecline","Increased",0.2285,"MPConc_SST_AT",0.32,"Over 358_Effect"
"281","PopulationDecline","None",0.5555,"MPConc_SST_AT",0.32,"Over 358_Effect"
"282","PopulationDecline","Reduced",0.2245,"MPConc_SST_AT",0.32,"Over 358_Effect"
"283","Growth","Effect",0.2458,"MPConc_SST_AT",0.32,"Over 358_Effect"
"284","Growth","No Effect",0.7561,"MPConc_SST_AT",0.32,"Over 358_Effect"
"285","Mortality","Effect",0.1126,"MPConc_SST_AT",0.32,"Over 358_Effect"
"286","Mortality","No Effect",0.8858,"MPConc_SST_AT",0.32,"Over 358_Effect"
"287","ReproductiveRate","Effect",0.2326,"MPConc_SST_AT",0.32,"Over 358_Effect"
"288","ReproductiveRate","No Effect",0.7848,"MPConc_SST_AT",0.32,"Over 358_Effect"
"289","PopulationDecline","Increased",0.2287,"MPConc_SST_AT",0.33,"Over 358_Effect"
"290","PopulationDecline","None",0.5586,"MPConc_SST_AT",0.33,"Over 358_Effect"
"291","PopulationDecline","Reduced",0.2176,"MPConc_SST_AT",0.33,"Over 358_Effect"
"292","Growth","Effect",0.259,"MPConc_SST_AT",0.33,"Over 358_Effect"
"293","Growth","No Effect",0.7563,"MPConc_SST_AT",0.33,"Over 358_Effect"
"294","Mortality","Effect",0.1089,"MPConc_SST_AT",0.33,"Over 358_Effect"
"295","Mortality","No Effect",0.8811,"MPConc_SST_AT",0.33,"Over 358_Effect"
"296","ReproductiveRate","Effect",0.2274,"MPConc_SST_AT",0.33,"Over 358_Effect"
"297","ReproductiveRate","No Effect",0.7741,"MPConc_SST_AT",0.33,"Over 358_Effect"
"298","PopulationDecline","Increased",0.2239,"MPConc_SST_AT",0.34,"Over 358_Effect"
"299","PopulationDecline","None",0.5593,"MPConc_SST_AT",0.34,"Over 358_Effect"
"300","PopulationDecline","Reduced",0.2195,"MPConc_SST_AT",0.34,"Over 358_Effect"
"301","Growth","Effect",0.2522,"MPConc_SST_AT",0.34,"Over 358_Effect"
"302","Growth","No Effect",0.7378,"MPConc_SST_AT",0.34,"Over 358_Effect"
"303","Mortality","Effect",0.116,"MPConc_SST_AT",0.34,"Over 358_Effect"
"304","Mortality","No Effect",0.8881,"MPConc_SST_AT",0.34,"Over 358_Effect"
