"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"1","PopulationDecline","Increased",0.2328,"MPConc_SST_AT",0.01,"Over 358_Effect"
"2","PopulationDecline","None",0.5441,"MPConc_SST_AT",0.01,"Over 358_Effect"
"3","PopulationDecline","Reduced",0.2167,"MPConc_SST_AT",0.01,"Over 358_Effect"
"4","Growth","Effect",0.233,"MPConc_SST_AT",0.01,"Over 358_Effect"
"5","Growth","No Effect",0.7765,"MPConc_SST_AT",0.01,"Over 358_Effect"
"6","Mortality","Effect",0.1098,"MPConc_SST_AT",0.01,"Over 358_Effect"
"7","Mortality","No Effect",0.8881,"MPConc_SST_AT",0.01,"Over 358_Effect"
"8","ReproductiveRate","Effect",0.1891,"MPConc_SST_AT",0.01,"Over 358_Effect"
"9","ReproductiveRate","No Effect",0.8079,"MPConc_SST_AT",0.01,"Over 358_Effect"
"10","PopulationDecline","Increased",0.2371,"MPConc_SST_AT",0.02,"Over 358_Effect"
"11","PopulationDecline","None",0.5376,"MPConc_SST_AT",0.02,"Over 358_Effect"
"12","PopulationDecline","Reduced",0.2189,"MPConc_SST_AT",0.02,"Over 358_Effect"
"13","Growth","Effect",0.2237,"MPConc_SST_AT",0.02,"Over 358_Effect"
"14","Growth","No Effect",0.7609,"MPConc_SST_AT",0.02,"Over 358_Effect"
"15","Mortality","Effect",0.1119,"MPConc_SST_AT",0.02,"Over 358_Effect"
"16","Mortality","No Effect",0.8837,"MPConc_SST_AT",0.02,"Over 358_Effect"
"17","ReproductiveRate","Effect",0.1887,"MPConc_SST_AT",0.02,"Over 358_Effect"
"18","ReproductiveRate","No Effect",0.8158,"MPConc_SST_AT",0.02,"Over 358_Effect"
"19","PopulationDecline","Increased",0.2335,"MPConc_SST_AT",0.03,"Over 358_Effect"
"20","PopulationDecline","None",0.5475,"MPConc_SST_AT",0.03,"Over 358_Effect"
"21","PopulationDecline","Reduced",0.224,"MPConc_SST_AT",0.03,"Over 358_Effect"
"22","Growth","Effect",0.2308,"MPConc_SST_AT",0.03,"Over 358_Effect"
"23","Growth","No Effect",0.7691,"MPConc_SST_AT",0.03,"Over 358_Effect"
"24","Mortality","Effect",0.1166,"MPConc_SST_AT",0.03,"Over 358_Effect"
"25","Mortality","No Effect",0.8873,"MPConc_SST_AT",0.03,"Over 358_Effect"
"26","ReproductiveRate","Effect",0.1853,"MPConc_SST_AT",0.03,"Over 358_Effect"
"27","ReproductiveRate","No Effect",0.804,"MPConc_SST_AT",0.03,"Over 358_Effect"
"28","PopulationDecline","Increased",0.2334,"MPConc_SST_AT",0.04,"Over 358_Effect"
"29","PopulationDecline","None",0.5472,"MPConc_SST_AT",0.04,"Over 358_Effect"
"30","PopulationDecline","Reduced",0.221,"MPConc_SST_AT",0.04,"Over 358_Effect"
"31","Growth","Effect",0.2335,"MPConc_SST_AT",0.04,"Over 358_Effect"
"32","Growth","No Effect",0.7731,"MPConc_SST_AT",0.04,"Over 358_Effect"
"33","Mortality","Effect",0.1189,"MPConc_SST_AT",0.04,"Over 358_Effect"
"34","Mortality","No Effect",0.8898,"MPConc_SST_AT",0.04,"Over 358_Effect"
"35","ReproductiveRate","Effect",0.1957,"MPConc_SST_AT",0.04,"Over 358_Effect"
"36","ReproductiveRate","No Effect",0.8098,"MPConc_SST_AT",0.04,"Over 358_Effect"
"37","PopulationDecline","Increased",0.2305,"MPConc_SST_AT",0.05,"Over 358_Effect"
"38","PopulationDecline","None",0.5479,"MPConc_SST_AT",0.05,"Over 358_Effect"
"39","PopulationDecline","Reduced",0.2261,"MPConc_SST_AT",0.05,"Over 358_Effect"
"40","Growth","Effect",0.2382,"MPConc_SST_AT",0.05,"Over 358_Effect"
"41","Growth","No Effect",0.762,"MPConc_SST_AT",0.05,"Over 358_Effect"
"42","Mortality","Effect",0.118,"MPConc_SST_AT",0.05,"Over 358_Effect"
"43","Mortality","No Effect",0.8882,"MPConc_SST_AT",0.05,"Over 358_Effect"
"44","ReproductiveRate","Effect",0.1978,"MPConc_SST_AT",0.05,"Over 358_Effect"
"45","ReproductiveRate","No Effect",0.8108,"MPConc_SST_AT",0.05,"Over 358_Effect"
"46","PopulationDecline","Increased",0.2357,"MPConc_SST_AT",0.06,"Over 358_Effect"
"47","PopulationDecline","None",0.5503,"MPConc_SST_AT",0.06,"Over 358_Effect"
"48","PopulationDecline","Reduced",0.2228,"MPConc_SST_AT",0.06,"Over 358_Effect"
"49","Growth","Effect",0.2353,"MPConc_SST_AT",0.06,"Over 358_Effect"
"50","Growth","No Effect",0.7622,"MPConc_SST_AT",0.06,"Over 358_Effect"
"51","Mortality","Effect",0.1134,"MPConc_SST_AT",0.06,"Over 358_Effect"
"52","Mortality","No Effect",0.8858,"MPConc_SST_AT",0.06,"Over 358_Effect"
"53","ReproductiveRate","Effect",0.1936,"MPConc_SST_AT",0.06,"Over 358_Effect"
"54","ReproductiveRate","No Effect",0.8019,"MPConc_SST_AT",0.06,"Over 358_Effect"
"55","PopulationDecline","Increased",0.2365,"MPConc_SST_AT",0.07,"Over 358_Effect"
"56","PopulationDecline","None",0.5413,"MPConc_SST_AT",0.07,"Over 358_Effect"
"57","PopulationDecline","Reduced",0.2164,"MPConc_SST_AT",0.07,"Over 358_Effect"
"58","Growth","Effect",0.2362,"MPConc_SST_AT",0.07,"Over 358_Effect"
"59","Growth","No Effect",0.7693,"MPConc_SST_AT",0.07,"Over 358_Effect"
"60","Mortality","Effect",0.1117,"MPConc_SST_AT",0.07,"Over 358_Effect"
"61","Mortality","No Effect",0.8828,"MPConc_SST_AT",0.07,"Over 358_Effect"
"62","ReproductiveRate","Effect",0.2026,"MPConc_SST_AT",0.07,"Over 358_Effect"
"63","ReproductiveRate","No Effect",0.8044,"MPConc_SST_AT",0.07,"Over 358_Effect"
"64","PopulationDecline","Increased",0.234,"MPConc_SST_AT",0.08,"Over 358_Effect"
"65","PopulationDecline","None",0.5495,"MPConc_SST_AT",0.08,"Over 358_Effect"
"66","PopulationDecline","Reduced",0.2186,"MPConc_SST_AT",0.08,"Over 358_Effect"
"67","Growth","Effect",0.2303,"MPConc_SST_AT",0.08,"Over 358_Effect"
"68","Growth","No Effect",0.763,"MPConc_SST_AT",0.08,"Over 358_Effect"
"69","Mortality","Effect",0.1106,"MPConc_SST_AT",0.08,"Over 358_Effect"
"70","Mortality","No Effect",0.8891,"MPConc_SST_AT",0.08,"Over 358_Effect"
"71","ReproductiveRate","Effect",0.1945,"MPConc_SST_AT",0.08,"Over 358_Effect"
"72","ReproductiveRate","No Effect",0.7979,"MPConc_SST_AT",0.08,"Over 358_Effect"
"73","PopulationDecline","Increased",0.2306,"MPConc_SST_AT",0.09,"Over 358_Effect"
"74","PopulationDecline","None",0.5488,"MPConc_SST_AT",0.09,"Over 358_Effect"
"75","PopulationDecline","Reduced",0.2197,"MPConc_SST_AT",0.09,"Over 358_Effect"
"76","Growth","Effect",0.2335,"MPConc_SST_AT",0.09,"Over 358_Effect"
"77","Growth","No Effect",0.7583,"MPConc_SST_AT",0.09,"Over 358_Effect"
"78","Mortality","Effect",0.1157,"MPConc_SST_AT",0.09,"Over 358_Effect"
"79","Mortality","No Effect",0.8875,"MPConc_SST_AT",0.09,"Over 358_Effect"
"80","ReproductiveRate","Effect",0.1939,"MPConc_SST_AT",0.09,"Over 358_Effect"
"81","ReproductiveRate","No Effect",0.799,"MPConc_SST_AT",0.09,"Over 358_Effect"
"82","PopulationDecline","Increased",0.2329,"MPConc_SST_AT",0.1,"Over 358_Effect"
"83","PopulationDecline","None",0.5535,"MPConc_SST_AT",0.1,"Over 358_Effect"
"84","PopulationDecline","Reduced",0.2212,"MPConc_SST_AT",0.1,"Over 358_Effect"
"85","Growth","Effect",0.2355,"MPConc_SST_AT",0.1,"Over 358_Effect"
"86","Growth","No Effect",0.7625,"MPConc_SST_AT",0.1,"Over 358_Effect"
"87","Mortality","Effect",0.1147,"MPConc_SST_AT",0.1,"Over 358_Effect"
"88","Mortality","No Effect",0.8855,"MPConc_SST_AT",0.1,"Over 358_Effect"
"89","ReproductiveRate","Effect",0.1983,"MPConc_SST_AT",0.1,"Over 358_Effect"
"90","ReproductiveRate","No Effect",0.8007,"MPConc_SST_AT",0.1,"Over 358_Effect"
"91","PopulationDecline","Increased",0.2318,"MPConc_SST_AT",0.11,"Over 358_Effect"
"92","PopulationDecline","None",0.547,"MPConc_SST_AT",0.11,"Over 358_Effect"
"93","PopulationDecline","Reduced",0.2182,"MPConc_SST_AT",0.11,"Over 358_Effect"
"94","Growth","Effect",0.2325,"MPConc_SST_AT",0.11,"Over 358_Effect"
"95","Growth","No Effect",0.7613,"MPConc_SST_AT",0.11,"Over 358_Effect"
"96","Mortality","Effect",0.1113,"MPConc_SST_AT",0.11,"Over 358_Effect"
"97","Mortality","No Effect",0.881,"MPConc_SST_AT",0.11,"Over 358_Effect"
"98","ReproductiveRate","Effect",0.2043,"MPConc_SST_AT",0.11,"Over 358_Effect"
"99","ReproductiveRate","No Effect",0.7997,"MPConc_SST_AT",0.11,"Over 358_Effect"
"100","PopulationDecline","Increased",0.2358,"MPConc_SST_AT",0.12,"Over 358_Effect"
"101","PopulationDecline","None",0.5456,"MPConc_SST_AT",0.12,"Over 358_Effect"
"102","PopulationDecline","Reduced",0.2189,"MPConc_SST_AT",0.12,"Over 358_Effect"
"103","Growth","Effect",0.2427,"MPConc_SST_AT",0.12,"Over 358_Effect"
"104","Growth","No Effect",0.7631,"MPConc_SST_AT",0.12,"Over 358_Effect"
"105","Mortality","Effect",0.1112,"MPConc_SST_AT",0.12,"Over 358_Effect"
"106","Mortality","No Effect",0.886,"MPConc_SST_AT",0.12,"Over 358_Effect"
"107","ReproductiveRate","Effect",0.2047,"MPConc_SST_AT",0.12,"Over 358_Effect"
"108","ReproductiveRate","No Effect",0.7979,"MPConc_SST_AT",0.12,"Over 358_Effect"
"109","PopulationDecline","Increased",0.2325,"MPConc_SST_AT",0.13,"Over 358_Effect"
"110","PopulationDecline","None",0.5408,"MPConc_SST_AT",0.13,"Over 358_Effect"
"111","PopulationDecline","Reduced",0.22,"MPConc_SST_AT",0.13,"Over 358_Effect"
"112","Growth","Effect",0.2383,"MPConc_SST_AT",0.13,"Over 358_Effect"
"113","Growth","No Effect",0.7578,"MPConc_SST_AT",0.13,"Over 358_Effect"
"114","Mortality","Effect",0.115,"MPConc_SST_AT",0.13,"Over 358_Effect"
"115","Mortality","No Effect",0.8855,"MPConc_SST_AT",0.13,"Over 358_Effect"
"116","ReproductiveRate","Effect",0.2044,"MPConc_SST_AT",0.13,"Over 358_Effect"
"117","ReproductiveRate","No Effect",0.7988,"MPConc_SST_AT",0.13,"Over 358_Effect"
"118","PopulationDecline","Increased",0.2329,"MPConc_SST_AT",0.14,"Over 358_Effect"
"119","PopulationDecline","None",0.5373,"MPConc_SST_AT",0.14,"Over 358_Effect"
"120","PopulationDecline","Reduced",0.2219,"MPConc_SST_AT",0.14,"Over 358_Effect"
"121","Growth","Effect",0.2308,"MPConc_SST_AT",0.14,"Over 358_Effect"
"122","Growth","No Effect",0.7661,"MPConc_SST_AT",0.14,"Over 358_Effect"
"123","Mortality","Effect",0.1134,"MPConc_SST_AT",0.14,"Over 358_Effect"
"124","Mortality","No Effect",0.8911,"MPConc_SST_AT",0.14,"Over 358_Effect"
"125","ReproductiveRate","Effect",0.2035,"MPConc_SST_AT",0.14,"Over 358_Effect"
"126","ReproductiveRate","No Effect",0.7937,"MPConc_SST_AT",0.14,"Over 358_Effect"
"127","PopulationDecline","Increased",0.2353,"MPConc_SST_AT",0.15,"Over 358_Effect"
"128","PopulationDecline","None",0.5495,"MPConc_SST_AT",0.15,"Over 358_Effect"
"129","PopulationDecline","Reduced",0.2216,"MPConc_SST_AT",0.15,"Over 358_Effect"
"130","Growth","Effect",0.2448,"MPConc_SST_AT",0.15,"Over 358_Effect"
"131","Growth","No Effect",0.7534,"MPConc_SST_AT",0.15,"Over 358_Effect"
"132","Mortality","Effect",0.1076,"MPConc_SST_AT",0.15,"Over 358_Effect"
"133","Mortality","No Effect",0.8857,"MPConc_SST_AT",0.15,"Over 358_Effect"
"134","ReproductiveRate","Effect",0.2067,"MPConc_SST_AT",0.15,"Over 358_Effect"
"135","ReproductiveRate","No Effect",0.7992,"MPConc_SST_AT",0.15,"Over 358_Effect"
"136","PopulationDecline","Increased",0.2286,"MPConc_SST_AT",0.16,"Over 358_Effect"
"137","PopulationDecline","None",0.5581,"MPConc_SST_AT",0.16,"Over 358_Effect"
"138","PopulationDecline","Reduced",0.2148,"MPConc_SST_AT",0.16,"Over 358_Effect"
"139","Growth","Effect",0.2392,"MPConc_SST_AT",0.16,"Over 358_Effect"
"140","Growth","No Effect",0.7658,"MPConc_SST_AT",0.16,"Over 358_Effect"
"141","Mortality","Effect",0.1121,"MPConc_SST_AT",0.16,"Over 358_Effect"
"142","Mortality","No Effect",0.8867,"MPConc_SST_AT",0.16,"Over 358_Effect"
"143","ReproductiveRate","Effect",0.2101,"MPConc_SST_AT",0.16,"Over 358_Effect"
"144","ReproductiveRate","No Effect",0.7931,"MPConc_SST_AT",0.16,"Over 358_Effect"
"145","PopulationDecline","Increased",0.2274,"MPConc_SST_AT",0.17,"Over 358_Effect"
"146","PopulationDecline","None",0.5507,"MPConc_SST_AT",0.17,"Over 358_Effect"
"147","PopulationDecline","Reduced",0.2202,"MPConc_SST_AT",0.17,"Over 358_Effect"
"148","Growth","Effect",0.2395,"MPConc_SST_AT",0.17,"Over 358_Effect"
"149","Growth","No Effect",0.7614,"MPConc_SST_AT",0.17,"Over 358_Effect"
"150","Mortality","Effect",0.1165,"MPConc_SST_AT",0.17,"Over 358_Effect"
"151","Mortality","No Effect",0.8888,"MPConc_SST_AT",0.17,"Over 358_Effect"
"152","ReproductiveRate","Effect",0.2176,"MPConc_SST_AT",0.17,"Over 358_Effect"
"153","ReproductiveRate","No Effect",0.7902,"MPConc_SST_AT",0.17,"Over 358_Effect"
"154","PopulationDecline","Increased",0.2336,"MPConc_SST_AT",0.18,"Over 358_Effect"
"155","PopulationDecline","None",0.5469,"MPConc_SST_AT",0.18,"Over 358_Effect"
"156","PopulationDecline","Reduced",0.2221,"MPConc_SST_AT",0.18,"Over 358_Effect"
"157","Growth","Effect",0.2392,"MPConc_SST_AT",0.18,"Over 358_Effect"
"158","Growth","No Effect",0.7609,"MPConc_SST_AT",0.18,"Over 358_Effect"
"159","Mortality","Effect",0.1079,"MPConc_SST_AT",0.18,"Over 358_Effect"
"160","Mortality","No Effect",0.8823,"MPConc_SST_AT",0.18,"Over 358_Effect"
"161","ReproductiveRate","Effect",0.206,"MPConc_SST_AT",0.18,"Over 358_Effect"
"162","ReproductiveRate","No Effect",0.7876,"MPConc_SST_AT",0.18,"Over 358_Effect"
"163","PopulationDecline","Increased",0.2257,"MPConc_SST_AT",0.19,"Over 358_Effect"
"164","PopulationDecline","None",0.5584,"MPConc_SST_AT",0.19,"Over 358_Effect"
"165","PopulationDecline","Reduced",0.213,"MPConc_SST_AT",0.19,"Over 358_Effect"
"166","Growth","Effect",0.244,"MPConc_SST_AT",0.19,"Over 358_Effect"
"167","Growth","No Effect",0.7587,"MPConc_SST_AT",0.19,"Over 358_Effect"
"168","Mortality","Effect",0.1141,"MPConc_SST_AT",0.19,"Over 358_Effect"
"169","Mortality","No Effect",0.8882,"MPConc_SST_AT",0.19,"Over 358_Effect"
"170","ReproductiveRate","Effect",0.2131,"MPConc_SST_AT",0.19,"Over 358_Effect"
"171","ReproductiveRate","No Effect",0.792,"MPConc_SST_AT",0.19,"Over 358_Effect"
"172","PopulationDecline","Increased",0.2247,"MPConc_SST_AT",0.2,"Over 358_Effect"
"173","PopulationDecline","None",0.5561,"MPConc_SST_AT",0.2,"Over 358_Effect"
"174","PopulationDecline","Reduced",0.2188,"MPConc_SST_AT",0.2,"Over 358_Effect"
"175","Growth","Effect",0.2402,"MPConc_SST_AT",0.2,"Over 358_Effect"
"176","Growth","No Effect",0.762,"MPConc_SST_AT",0.2,"Over 358_Effect"
"177","Mortality","Effect",0.1168,"MPConc_SST_AT",0.2,"Over 358_Effect"
"178","Mortality","No Effect",0.8883,"MPConc_SST_AT",0.2,"Over 358_Effect"
"179","ReproductiveRate","Effect",0.2123,"MPConc_SST_AT",0.2,"Over 358_Effect"
"180","ReproductiveRate","No Effect",0.7903,"MPConc_SST_AT",0.2,"Over 358_Effect"
"181","PopulationDecline","Increased",0.2357,"MPConc_SST_AT",0.21,"Over 358_Effect"
"182","PopulationDecline","None",0.5455,"MPConc_SST_AT",0.21,"Over 358_Effect"
"183","PopulationDecline","Reduced",0.2231,"MPConc_SST_AT",0.21,"Over 358_Effect"
"184","Growth","Effect",0.2499,"MPConc_SST_AT",0.21,"Over 358_Effect"
"185","Growth","No Effect",0.7589,"MPConc_SST_AT",0.21,"Over 358_Effect"
"186","Mortality","Effect",0.1116,"MPConc_SST_AT",0.21,"Over 358_Effect"
"187","Mortality","No Effect",0.8858,"MPConc_SST_AT",0.21,"Over 358_Effect"
"188","ReproductiveRate","Effect",0.2164,"MPConc_SST_AT",0.21,"Over 358_Effect"
"189","ReproductiveRate","No Effect",0.7839,"MPConc_SST_AT",0.21,"Over 358_Effect"
"190","PopulationDecline","Increased",0.2322,"MPConc_SST_AT",0.22,"Over 358_Effect"
"191","PopulationDecline","None",0.5435,"MPConc_SST_AT",0.22,"Over 358_Effect"
"192","PopulationDecline","Reduced",0.2173,"MPConc_SST_AT",0.22,"Over 358_Effect"
"193","Growth","Effect",0.2412,"MPConc_SST_AT",0.22,"Over 358_Effect"
"194","Growth","No Effect",0.7638,"MPConc_SST_AT",0.22,"Over 358_Effect"
"195","Mortality","Effect",0.1152,"MPConc_SST_AT",0.22,"Over 358_Effect"
"196","Mortality","No Effect",0.8838,"MPConc_SST_AT",0.22,"Over 358_Effect"
"197","ReproductiveRate","Effect",0.2151,"MPConc_SST_AT",0.22,"Over 358_Effect"
