"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"145","PopulationDecline","Increased",0.246,"BothTemps",0.17,"Effect"
"146","PopulationDecline","None",0.5293,"BothTemps",0.17,"Effect"
"147","PopulationDecline","Reduced",0.2234,"BothTemps",0.17,"Effect"
"148","Growth","Effect",0.1996,"BothTemps",0.17,"Effect"
"149","Growth","No Effect",0.7991,"BothTemps",0.17,"Effect"
"150","Mortality","Effect",0.0902,"BothTemps",0.17,"Effect"
"151","Mortality","No Effect",0.9109,"BothTemps",0.17,"Effect"
"152","ReproductiveRate","Effect",0.2027,"BothTemps",0.17,"Effect"
"153","ReproductiveRate","No Effect",0.8063,"BothTemps",0.17,"Effect"
"154","PopulationDecline","Increased",0.2362,"BothTemps",0.18,"Effect"
"155","PopulationDecline","None",0.5216,"BothTemps",0.18,"Effect"
"156","PopulationDecline","Reduced",0.2303,"BothTemps",0.18,"Effect"
"157","Growth","Effect",0.2066,"BothTemps",0.18,"Effect"
"158","Growth","No Effect",0.8024,"BothTemps",0.18,"Effect"
"159","Mortality","Effect",0.086,"BothTemps",0.18,"Effect"
"160","Mortality","No Effect",0.9123,"BothTemps",0.18,"Effect"
"161","ReproductiveRate","Effect",0.1987,"BothTemps",0.18,"Effect"
"162","ReproductiveRate","No Effect",0.803,"BothTemps",0.18,"Effect"
"163","PopulationDecline","Increased",0.2363,"BothTemps",0.19,"Effect"
"164","PopulationDecline","None",0.5238,"BothTemps",0.19,"Effect"
"165","PopulationDecline","Reduced",0.2173,"BothTemps",0.19,"Effect"
"166","Growth","Effect",0.2008,"BothTemps",0.19,"Effect"
"167","Growth","No Effect",0.7968,"BothTemps",0.19,"Effect"
"168","Mortality","Effect",0.093,"BothTemps",0.19,"Effect"
"169","Mortality","No Effect",0.9104,"BothTemps",0.19,"Effect"
"170","ReproductiveRate","Effect",0.198,"BothTemps",0.19,"Effect"
"171","ReproductiveRate","No Effect",0.8027,"BothTemps",0.19,"Effect"
"172","PopulationDecline","Increased",0.2452,"BothTemps",0.2,"Effect"
"173","PopulationDecline","None",0.5284,"BothTemps",0.2,"Effect"
"174","PopulationDecline","Reduced",0.2284,"BothTemps",0.2,"Effect"
"175","Growth","Effect",0.205,"BothTemps",0.2,"Effect"
"176","Growth","No Effect",0.7941,"BothTemps",0.2,"Effect"
"177","Mortality","Effect",0.0829,"BothTemps",0.2,"Effect"
"178","Mortality","No Effect",0.915,"BothTemps",0.2,"Effect"
"179","ReproductiveRate","Effect",0.2019,"BothTemps",0.2,"Effect"
"180","ReproductiveRate","No Effect",0.7983,"BothTemps",0.2,"Effect"
"181","PopulationDecline","Increased",0.2364,"BothTemps",0.21,"Effect"
"182","PopulationDecline","None",0.5311,"BothTemps",0.21,"Effect"
"183","PopulationDecline","Reduced",0.2282,"BothTemps",0.21,"Effect"
"184","Growth","Effect",0.1977,"BothTemps",0.21,"Effect"
"185","Growth","No Effect",0.7945,"BothTemps",0.21,"Effect"
"186","Mortality","Effect",0.0881,"BothTemps",0.21,"Effect"
"187","Mortality","No Effect",0.9145,"BothTemps",0.21,"Effect"
"188","ReproductiveRate","Effect",0.1933,"BothTemps",0.21,"Effect"
"189","ReproductiveRate","No Effect",0.8043,"BothTemps",0.21,"Effect"
"190","PopulationDecline","Increased",0.2427,"BothTemps",0.22,"Effect"
"191","PopulationDecline","None",0.5329,"BothTemps",0.22,"Effect"
"192","PopulationDecline","Reduced",0.2261,"BothTemps",0.22,"Effect"
"193","Growth","Effect",0.2,"BothTemps",0.22,"Effect"
"194","Growth","No Effect",0.7964,"BothTemps",0.22,"Effect"
"195","Mortality","Effect",0.0898,"BothTemps",0.22,"Effect"
"196","Mortality","No Effect",0.9124,"BothTemps",0.22,"Effect"
"197","ReproductiveRate","Effect",0.2054,"BothTemps",0.22,"Effect"
"198","ReproductiveRate","No Effect",0.8025,"BothTemps",0.22,"Effect"
"199","PopulationDecline","Increased",0.2449,"BothTemps",0.23,"Effect"
"200","PopulationDecline","None",0.5299,"BothTemps",0.23,"Effect"
"201","PopulationDecline","Reduced",0.2253,"BothTemps",0.23,"Effect"
"202","Growth","Effect",0.2004,"BothTemps",0.23,"Effect"
"203","Growth","No Effect",0.8012,"BothTemps",0.23,"Effect"
"204","Mortality","Effect",0.082,"BothTemps",0.23,"Effect"
"205","Mortality","No Effect",0.9117,"BothTemps",0.23,"Effect"
"206","ReproductiveRate","Effect",0.2028,"BothTemps",0.23,"Effect"
"207","ReproductiveRate","No Effect",0.8024,"BothTemps",0.23,"Effect"
"208","PopulationDecline","Increased",0.2408,"BothTemps",0.24,"Effect"
"209","PopulationDecline","None",0.5333,"BothTemps",0.24,"Effect"
"210","PopulationDecline","Reduced",0.2271,"BothTemps",0.24,"Effect"
"211","Growth","Effect",0.2032,"BothTemps",0.24,"Effect"
"212","Growth","No Effect",0.793,"BothTemps",0.24,"Effect"
"213","Mortality","Effect",0.0863,"BothTemps",0.24,"Effect"
"214","Mortality","No Effect",0.9145,"BothTemps",0.24,"Effect"
"215","ReproductiveRate","Effect",0.201,"BothTemps",0.24,"Effect"
"216","ReproductiveRate","No Effect",0.8091,"BothTemps",0.24,"Effect"
"217","PopulationDecline","Increased",0.2414,"BothTemps",0.25,"Effect"
"218","PopulationDecline","None",0.5384,"BothTemps",0.25,"Effect"
"219","PopulationDecline","Reduced",0.2197,"BothTemps",0.25,"Effect"
"220","Growth","Effect",0.1958,"BothTemps",0.25,"Effect"
"221","Growth","No Effect",0.7979,"BothTemps",0.25,"Effect"
"222","Mortality","Effect",0.082,"BothTemps",0.25,"Effect"
"223","Mortality","No Effect",0.9143,"BothTemps",0.25,"Effect"
"224","ReproductiveRate","Effect",0.1952,"BothTemps",0.25,"Effect"
"225","ReproductiveRate","No Effect",0.8064,"BothTemps",0.25,"Effect"
"226","PopulationDecline","Increased",0.2389,"BothTemps",0.26,"Effect"
"227","PopulationDecline","None",0.5347,"BothTemps",0.26,"Effect"
"228","PopulationDecline","Reduced",0.2251,"BothTemps",0.26,"Effect"
"229","Growth","Effect",0.2015,"BothTemps",0.26,"Effect"
"230","Growth","No Effect",0.798,"BothTemps",0.26,"Effect"
"231","Mortality","Effect",0.0866,"BothTemps",0.26,"Effect"
"232","Mortality","No Effect",0.9189,"BothTemps",0.26,"Effect"
"233","ReproductiveRate","Effect",0.2019,"BothTemps",0.26,"Effect"
"234","ReproductiveRate","No Effect",0.7966,"BothTemps",0.26,"Effect"
"235","PopulationDecline","Increased",0.2379,"BothTemps",0.27,"Effect"
"236","PopulationDecline","None",0.5366,"BothTemps",0.27,"Effect"
"237","PopulationDecline","Reduced",0.2215,"BothTemps",0.27,"Effect"
"238","Growth","Effect",0.1977,"BothTemps",0.27,"Effect"
"239","Growth","No Effect",0.7959,"BothTemps",0.27,"Effect"
"240","Mortality","Effect",0.0853,"BothTemps",0.27,"Effect"
"241","Mortality","No Effect",0.9153,"BothTemps",0.27,"Effect"
"242","ReproductiveRate","Effect",0.2019,"BothTemps",0.27,"Effect"
"243","ReproductiveRate","No Effect",0.7928,"BothTemps",0.27,"Effect"
"244","PopulationDecline","Increased",0.2419,"BothTemps",0.28,"Effect"
"245","PopulationDecline","None",0.5341,"BothTemps",0.28,"Effect"
"246","PopulationDecline","Reduced",0.226,"BothTemps",0.28,"Effect"
"247","Growth","Effect",0.2051,"BothTemps",0.28,"Effect"
"248","Growth","No Effect",0.799,"BothTemps",0.28,"Effect"
"249","Mortality","Effect",0.088,"BothTemps",0.28,"Effect"
"250","Mortality","No Effect",0.9157,"BothTemps",0.28,"Effect"
"251","ReproductiveRate","Effect",0.203,"BothTemps",0.28,"Effect"
"252","ReproductiveRate","No Effect",0.8,"BothTemps",0.28,"Effect"
"253","PopulationDecline","Increased",0.2447,"BothTemps",0.29,"Effect"
"254","PopulationDecline","None",0.5362,"BothTemps",0.29,"Effect"
"255","PopulationDecline","Reduced",0.2234,"BothTemps",0.29,"Effect"
"256","Growth","Effect",0.2003,"BothTemps",0.29,"Effect"
"257","Growth","No Effect",0.8007,"BothTemps",0.29,"Effect"
"258","Mortality","Effect",0.0821,"BothTemps",0.29,"Effect"
"259","Mortality","No Effect",0.9173,"BothTemps",0.29,"Effect"
"260","ReproductiveRate","Effect",0.2044,"BothTemps",0.29,"Effect"
"261","ReproductiveRate","No Effect",0.8,"BothTemps",0.29,"Effect"
"262","PopulationDecline","Increased",0.242,"BothTemps",0.3,"Effect"
"263","PopulationDecline","None",0.5261,"BothTemps",0.3,"Effect"
"264","PopulationDecline","Reduced",0.2278,"BothTemps",0.3,"Effect"
"265","Growth","Effect",0.2028,"BothTemps",0.3,"Effect"
"266","Growth","No Effect",0.7978,"BothTemps",0.3,"Effect"
"267","Mortality","Effect",0.0838,"BothTemps",0.3,"Effect"
"268","Mortality","No Effect",0.9174,"BothTemps",0.3,"Effect"
"269","ReproductiveRate","Effect",0.1985,"BothTemps",0.3,"Effect"
"270","ReproductiveRate","No Effect",0.801,"BothTemps",0.3,"Effect"
"271","PopulationDecline","Increased",0.241,"BothTemps",0.31,"Effect"
"272","PopulationDecline","None",0.5252,"BothTemps",0.31,"Effect"
"273","PopulationDecline","Reduced",0.2246,"BothTemps",0.31,"Effect"
"274","Growth","Effect",0.2057,"BothTemps",0.31,"Effect"
"275","Growth","No Effect",0.7946,"BothTemps",0.31,"Effect"
"276","Mortality","Effect",0.0814,"BothTemps",0.31,"Effect"
"277","Mortality","No Effect",0.9207,"BothTemps",0.31,"Effect"
"278","ReproductiveRate","Effect",0.2039,"BothTemps",0.31,"Effect"
"279","ReproductiveRate","No Effect",0.8012,"BothTemps",0.31,"Effect"
"280","PopulationDecline","Increased",0.2374,"BothTemps",0.32,"Effect"
"281","PopulationDecline","None",0.5287,"BothTemps",0.32,"Effect"
"282","PopulationDecline","Reduced",0.2265,"BothTemps",0.32,"Effect"
"283","Growth","Effect",0.1993,"BothTemps",0.32,"Effect"
"284","Growth","No Effect",0.7927,"BothTemps",0.32,"Effect"
"285","Mortality","Effect",0.0787,"BothTemps",0.32,"Effect"
"286","Mortality","No Effect",0.9169,"BothTemps",0.32,"Effect"
"287","ReproductiveRate","Effect",0.2001,"BothTemps",0.32,"Effect"
"288","ReproductiveRate","No Effect",0.8019,"BothTemps",0.32,"Effect"
"289","PopulationDecline","Increased",0.2443,"BothTemps",0.33,"Effect"
"290","PopulationDecline","None",0.5349,"BothTemps",0.33,"Effect"
"291","PopulationDecline","Reduced",0.226,"BothTemps",0.33,"Effect"
"292","Growth","Effect",0.1981,"BothTemps",0.33,"Effect"
"293","Growth","No Effect",0.8027,"BothTemps",0.33,"Effect"
"294","Mortality","Effect",0.0793,"BothTemps",0.33,"Effect"
"295","Mortality","No Effect",0.9174,"BothTemps",0.33,"Effect"
"296","ReproductiveRate","Effect",0.1986,"BothTemps",0.33,"Effect"
"297","ReproductiveRate","No Effect",0.795,"BothTemps",0.33,"Effect"
"298","PopulationDecline","Increased",0.2388,"BothTemps",0.34,"Effect"
"299","PopulationDecline","None",0.5331,"BothTemps",0.34,"Effect"
"300","PopulationDecline","Reduced",0.2268,"BothTemps",0.34,"Effect"
"301","Growth","Effect",0.199,"BothTemps",0.34,"Effect"
"302","Growth","No Effect",0.7972,"BothTemps",0.34,"Effect"
"303","Mortality","Effect",0.0807,"BothTemps",0.34,"Effect"
"304","Mortality","No Effect",0.9189,"BothTemps",0.34,"Effect"
"305","ReproductiveRate","Effect",0.1987,"BothTemps",0.34,"Effect"
"306","ReproductiveRate","No Effect",0.7984,"BothTemps",0.34,"Effect"
"307","PopulationDecline","Increased",0.2433,"BothTemps",0.35,"Effect"
"308","PopulationDecline","None",0.5356,"BothTemps",0.35,"Effect"
"309","PopulationDecline","Reduced",0.2245,"BothTemps",0.35,"Effect"
"310","Growth","Effect",0.1973,"BothTemps",0.35,"Effect"
"311","Growth","No Effect",0.8016,"BothTemps",0.35,"Effect"
"312","Mortality","Effect",0.0788,"BothTemps",0.35,"Effect"
"313","Mortality","No Effect",0.9193,"BothTemps",0.35,"Effect"
"314","ReproductiveRate","Effect",0.1994,"BothTemps",0.35,"Effect"
"315","ReproductiveRate","No Effect",0.8042,"BothTemps",0.35,"Effect"
"316","PopulationDecline","Increased",0.248,"BothTemps",0.36,"Effect"
"317","PopulationDecline","None",0.5318,"BothTemps",0.36,"Effect"
"318","PopulationDecline","Reduced",0.2268,"BothTemps",0.36,"Effect"
"319","Growth","Effect",0.1978,"BothTemps",0.36,"Effect"
"320","Growth","No Effect",0.7976,"BothTemps",0.36,"Effect"
"321","Mortality","Effect",0.0798,"BothTemps",0.36,"Effect"
"322","Mortality","No Effect",0.9233,"BothTemps",0.36,"Effect"
"323","ReproductiveRate","Effect",0.1971,"BothTemps",0.36,"Effect"
"324","ReproductiveRate","No Effect",0.795,"BothTemps",0.36,"Effect"
"325","PopulationDecline","Increased",0.2444,"BothTemps",0.37,"Effect"
"326","PopulationDecline","None",0.5301,"BothTemps",0.37,"Effect"
"327","PopulationDecline","Reduced",0.2285,"BothTemps",0.37,"Effect"
"328","Growth","Effect",0.1967,"BothTemps",0.37,"Effect"
"329","Growth","No Effect",0.7949,"BothTemps",0.37,"Effect"
"330","Mortality","Effect",0.0771,"BothTemps",0.37,"Effect"
"331","Mortality","No Effect",0.9253,"BothTemps",0.37,"Effect"
"332","ReproductiveRate","Effect",0.207,"BothTemps",0.37,"Effect"
"333","ReproductiveRate","No Effect",0.7948,"BothTemps",0.37,"Effect"
"334","PopulationDecline","Increased",0.242,"BothTemps",0.38,"Effect"
"335","PopulationDecline","None",0.525,"BothTemps",0.38,"Effect"
"336","PopulationDecline","Reduced",0.2296,"BothTemps",0.38,"Effect"
"337","Growth","Effect",0.1996,"BothTemps",0.38,"Effect"
"338","Growth","No Effect",0.7987,"BothTemps",0.38,"Effect"
"339","Mortality","Effect",0.0782,"BothTemps",0.38,"Effect"
"340","Mortality","No Effect",0.9227,"BothTemps",0.38,"Effect"
"341","ReproductiveRate","Effect",0.2022,"BothTemps",0.38,"Effect"
"342","ReproductiveRate","No Effect",0.7909,"BothTemps",0.38,"Effect"
"343","PopulationDecline","Increased",0.2415,"BothTemps",0.39,"Effect"
"344","PopulationDecline","None",0.5206,"BothTemps",0.39,"Effect"
"345","PopulationDecline","Reduced",0.2259,"BothTemps",0.39,"Effect"
"346","Growth","Effect",0.2031,"BothTemps",0.39,"Effect"
"347","Growth","No Effect",0.7993,"BothTemps",0.39,"Effect"
"348","Mortality","Effect",0.0754,"BothTemps",0.39,"Effect"
"349","Mortality","No Effect",0.9183,"BothTemps",0.39,"Effect"
"350","ReproductiveRate","Effect",0.2063,"BothTemps",0.39,"Effect"
"351","ReproductiveRate","No Effect",0.7954,"BothTemps",0.39,"Effect"
"352","PopulationDecline","Increased",0.2422,"BothTemps",0.4,"Effect"
"353","PopulationDecline","None",0.5317,"BothTemps",0.4,"Effect"
"354","PopulationDecline","Reduced",0.2209,"BothTemps",0.4,"Effect"
"355","Growth","Effect",0.2032,"BothTemps",0.4,"Effect"
"356","Growth","No Effect",0.7972,"BothTemps",0.4,"Effect"
"357","Mortality","Effect",0.0695,"BothTemps",0.4,"Effect"
"358","Mortality","No Effect",0.9212,"BothTemps",0.4,"Effect"
"359","ReproductiveRate","Effect",0.205,"BothTemps",0.4,"Effect"
"360","ReproductiveRate","No Effect",0.7886,"BothTemps",0.4,"Effect"
"361","PopulationDecline","Increased",0.2427,"BothTemps",0.41,"Effect"
"362","PopulationDecline","None",0.5332,"BothTemps",0.41,"Effect"
"363","PopulationDecline","Reduced",0.2258,"BothTemps",0.41,"Effect"
"364","Growth","Effect",0.1994,"BothTemps",0.41,"Effect"
"365","Growth","No Effect",0.7952,"BothTemps",0.41,"Effect"
"366","Mortality","Effect",0.0729,"BothTemps",0.41,"Effect"
"367","Mortality","No Effect",0.9245,"BothTemps",0.41,"Effect"
"368","ReproductiveRate","Effect",0.1974,"BothTemps",0.41,"Effect"
"369","ReproductiveRate","No Effect",0.795,"BothTemps",0.41,"Effect"
"370","PopulationDecline","Increased",0.2392,"BothTemps",0.42,"Effect"
"371","PopulationDecline","None",0.5328,"BothTemps",0.42,"Effect"
"372","PopulationDecline","Reduced",0.2258,"BothTemps",0.42,"Effect"
"373","Growth","Effect",0.1958,"BothTemps",0.42,"Effect"
"374","Growth","No Effect",0.7922,"BothTemps",0.42,"Effect"
"375","Mortality","Effect",0.0779,"BothTemps",0.42,"Effect"
"376","Mortality","No Effect",0.9289,"BothTemps",0.42,"Effect"
"377","ReproductiveRate","Effect",0.1996,"BothTemps",0.42,"Effect"
"378","ReproductiveRate","No Effect",0.7929,"BothTemps",0.42,"Effect"
"379","PopulationDecline","Increased",0.2473,"BothTemps",0.43,"Effect"
"380","PopulationDecline","None",0.532,"BothTemps",0.43,"Effect"
"381","PopulationDecline","Reduced",0.2254,"BothTemps",0.43,"Effect"
"382","Growth","Effect",0.2015,"BothTemps",0.43,"Effect"
"383","Growth","No Effect",0.7987,"BothTemps",0.43,"Effect"
"384","Mortality","Effect",0.076,"BothTemps",0.43,"Effect"
"385","Mortality","No Effect",0.93,"BothTemps",0.43,"Effect"
"386","ReproductiveRate","Effect",0.2089,"BothTemps",0.43,"Effect"
"387","ReproductiveRate","No Effect",0.7959,"BothTemps",0.43,"Effect"
"388","PopulationDecline","Increased",0.2318,"BothTemps",0.44,"Effect"
"389","PopulationDecline","None",0.5196,"BothTemps",0.44,"Effect"
