"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"1","PopulationDecline","Increased",0.2394,"BothTemps",0.01,"Effect"
"2","PopulationDecline","None",0.5265,"BothTemps",0.01,"Effect"
"3","PopulationDecline","Reduced",0.2289,"BothTemps",0.01,"Effect"
"4","Growth","Effect",0.2013,"BothTemps",0.01,"Effect"
"5","Growth","No Effect",0.7959,"BothTemps",0.01,"Effect"
"6","Mortality","Effect",0.1002,"BothTemps",0.01,"Effect"
"7","Mortality","No Effect",0.901,"BothTemps",0.01,"Effect"
"8","ReproductiveRate","Effect",0.1834,"BothTemps",0.01,"Effect"
"9","ReproductiveRate","No Effect",0.8094,"BothTemps",0.01,"Effect"
"10","PopulationDecline","Increased",0.245,"BothTemps",0.02,"Effect"
"11","PopulationDecline","None",0.527,"BothTemps",0.02,"Effect"
"12","PopulationDecline","Reduced",0.2239,"BothTemps",0.02,"Effect"
"13","Growth","Effect",0.2021,"BothTemps",0.02,"Effect"
"14","Growth","No Effect",0.7988,"BothTemps",0.02,"Effect"
"15","Mortality","Effect",0.093,"BothTemps",0.02,"Effect"
"16","Mortality","No Effect",0.9044,"BothTemps",0.02,"Effect"
"17","ReproductiveRate","Effect",0.1832,"BothTemps",0.02,"Effect"
"18","ReproductiveRate","No Effect",0.8109,"BothTemps",0.02,"Effect"
"19","PopulationDecline","Increased",0.245,"BothTemps",0.03,"Effect"
"20","PopulationDecline","None",0.5285,"BothTemps",0.03,"Effect"
"21","PopulationDecline","Reduced",0.2274,"BothTemps",0.03,"Effect"
"22","Growth","Effect",0.2025,"BothTemps",0.03,"Effect"
"23","Growth","No Effect",0.7934,"BothTemps",0.03,"Effect"
"24","Mortality","Effect",0.0948,"BothTemps",0.03,"Effect"
"25","Mortality","No Effect",0.907,"BothTemps",0.03,"Effect"
"26","ReproductiveRate","Effect",0.1881,"BothTemps",0.03,"Effect"
"27","ReproductiveRate","No Effect",0.8116,"BothTemps",0.03,"Effect"
"28","PopulationDecline","Increased",0.2525,"BothTemps",0.04,"Effect"
"29","PopulationDecline","None",0.5236,"BothTemps",0.04,"Effect"
"30","PopulationDecline","Reduced",0.2295,"BothTemps",0.04,"Effect"
"31","Growth","Effect",0.1991,"BothTemps",0.04,"Effect"
"32","Growth","No Effect",0.795,"BothTemps",0.04,"Effect"
"33","Mortality","Effect",0.0913,"BothTemps",0.04,"Effect"
"34","Mortality","No Effect",0.9042,"BothTemps",0.04,"Effect"
"35","ReproductiveRate","Effect",0.1821,"BothTemps",0.04,"Effect"
"36","ReproductiveRate","No Effect",0.8133,"BothTemps",0.04,"Effect"
"37","PopulationDecline","Increased",0.2402,"BothTemps",0.05,"Effect"
"38","PopulationDecline","None",0.5305,"BothTemps",0.05,"Effect"
"39","PopulationDecline","Reduced",0.2239,"BothTemps",0.05,"Effect"
"40","Growth","Effect",0.2083,"BothTemps",0.05,"Effect"
"41","Growth","No Effect",0.7973,"BothTemps",0.05,"Effect"
"42","Mortality","Effect",0.0936,"BothTemps",0.05,"Effect"
"43","Mortality","No Effect",0.9024,"BothTemps",0.05,"Effect"
"44","ReproductiveRate","Effect",0.1891,"BothTemps",0.05,"Effect"
"45","ReproductiveRate","No Effect",0.8101,"BothTemps",0.05,"Effect"
"46","PopulationDecline","Increased",0.2454,"BothTemps",0.06,"Effect"
"47","PopulationDecline","None",0.5237,"BothTemps",0.06,"Effect"
"48","PopulationDecline","Reduced",0.2187,"BothTemps",0.06,"Effect"
"49","Growth","Effect",0.2032,"BothTemps",0.06,"Effect"
"50","Growth","No Effect",0.794,"BothTemps",0.06,"Effect"
"51","Mortality","Effect",0.0968,"BothTemps",0.06,"Effect"
"52","Mortality","No Effect",0.9041,"BothTemps",0.06,"Effect"
"53","ReproductiveRate","Effect",0.1842,"BothTemps",0.06,"Effect"
"54","ReproductiveRate","No Effect",0.8125,"BothTemps",0.06,"Effect"
"55","PopulationDecline","Increased",0.2414,"BothTemps",0.07,"Effect"
"56","PopulationDecline","None",0.5308,"BothTemps",0.07,"Effect"
"57","PopulationDecline","Reduced",0.2264,"BothTemps",0.07,"Effect"
"58","Growth","Effect",0.2049,"BothTemps",0.07,"Effect"
"59","Growth","No Effect",0.8013,"BothTemps",0.07,"Effect"
"60","Mortality","Effect",0.0961,"BothTemps",0.07,"Effect"
"61","Mortality","No Effect",0.9021,"BothTemps",0.07,"Effect"
"62","ReproductiveRate","Effect",0.1782,"BothTemps",0.07,"Effect"
"63","ReproductiveRate","No Effect",0.8164,"BothTemps",0.07,"Effect"
"64","PopulationDecline","Increased",0.2442,"BothTemps",0.08,"Effect"
"65","PopulationDecline","None",0.5338,"BothTemps",0.08,"Effect"
"66","PopulationDecline","Reduced",0.2272,"BothTemps",0.08,"Effect"
"67","Growth","Effect",0.2017,"BothTemps",0.08,"Effect"
"68","Growth","No Effect",0.7899,"BothTemps",0.08,"Effect"
"69","Mortality","Effect",0.0888,"BothTemps",0.08,"Effect"
"70","Mortality","No Effect",0.9083,"BothTemps",0.08,"Effect"
"71","ReproductiveRate","Effect",0.1858,"BothTemps",0.08,"Effect"
"72","ReproductiveRate","No Effect",0.8156,"BothTemps",0.08,"Effect"
"73","PopulationDecline","Increased",0.241,"BothTemps",0.09,"Effect"
"74","PopulationDecline","None",0.5315,"BothTemps",0.09,"Effect"
"75","PopulationDecline","Reduced",0.2254,"BothTemps",0.09,"Effect"
"76","Growth","Effect",0.2107,"BothTemps",0.09,"Effect"
"77","Growth","No Effect",0.7887,"BothTemps",0.09,"Effect"
"78","Mortality","Effect",0.0937,"BothTemps",0.09,"Effect"
"79","Mortality","No Effect",0.9011,"BothTemps",0.09,"Effect"
"80","ReproductiveRate","Effect",0.1897,"BothTemps",0.09,"Effect"
"81","ReproductiveRate","No Effect",0.8067,"BothTemps",0.09,"Effect"
"82","PopulationDecline","Increased",0.2422,"BothTemps",0.1,"Effect"
"83","PopulationDecline","None",0.526,"BothTemps",0.1,"Effect"
"84","PopulationDecline","Reduced",0.2298,"BothTemps",0.1,"Effect"
"85","Growth","Effect",0.2002,"BothTemps",0.1,"Effect"
"86","Growth","No Effect",0.7908,"BothTemps",0.1,"Effect"
"87","Mortality","Effect",0.0949,"BothTemps",0.1,"Effect"
"88","Mortality","No Effect",0.9091,"BothTemps",0.1,"Effect"
"89","ReproductiveRate","Effect",0.1926,"BothTemps",0.1,"Effect"
"90","ReproductiveRate","No Effect",0.81,"BothTemps",0.1,"Effect"
"91","PopulationDecline","Increased",0.2362,"BothTemps",0.11,"Effect"
"92","PopulationDecline","None",0.5269,"BothTemps",0.11,"Effect"
"93","PopulationDecline","Reduced",0.2255,"BothTemps",0.11,"Effect"
"94","Growth","Effect",0.2054,"BothTemps",0.11,"Effect"
"95","Growth","No Effect",0.7977,"BothTemps",0.11,"Effect"
"96","Mortality","Effect",0.0887,"BothTemps",0.11,"Effect"
"97","Mortality","No Effect",0.9073,"BothTemps",0.11,"Effect"
"98","ReproductiveRate","Effect",0.184,"BothTemps",0.11,"Effect"
"99","ReproductiveRate","No Effect",0.8025,"BothTemps",0.11,"Effect"
"100","PopulationDecline","Increased",0.2426,"BothTemps",0.12,"Effect"
"101","PopulationDecline","None",0.5326,"BothTemps",0.12,"Effect"
"102","PopulationDecline","Reduced",0.2217,"BothTemps",0.12,"Effect"
"103","Growth","Effect",0.2047,"BothTemps",0.12,"Effect"
"104","Growth","No Effect",0.8016,"BothTemps",0.12,"Effect"
"105","Mortality","Effect",0.09,"BothTemps",0.12,"Effect"
"106","Mortality","No Effect",0.9082,"BothTemps",0.12,"Effect"
"107","ReproductiveRate","Effect",0.1922,"BothTemps",0.12,"Effect"
"108","ReproductiveRate","No Effect",0.8075,"BothTemps",0.12,"Effect"
"109","PopulationDecline","Increased",0.2482,"BothTemps",0.13,"Effect"
"110","PopulationDecline","None",0.5298,"BothTemps",0.13,"Effect"
"111","PopulationDecline","Reduced",0.2321,"BothTemps",0.13,"Effect"
"112","Growth","Effect",0.2146,"BothTemps",0.13,"Effect"
"113","Growth","No Effect",0.7952,"BothTemps",0.13,"Effect"
"114","Mortality","Effect",0.0848,"BothTemps",0.13,"Effect"
"115","Mortality","No Effect",0.9078,"BothTemps",0.13,"Effect"
"116","ReproductiveRate","Effect",0.19,"BothTemps",0.13,"Effect"
"117","ReproductiveRate","No Effect",0.8096,"BothTemps",0.13,"Effect"
"118","PopulationDecline","Increased",0.2438,"BothTemps",0.14,"Effect"
"119","PopulationDecline","None",0.5412,"BothTemps",0.14,"Effect"
"120","PopulationDecline","Reduced",0.2262,"BothTemps",0.14,"Effect"
"121","Growth","Effect",0.2025,"BothTemps",0.14,"Effect"
"122","Growth","No Effect",0.7936,"BothTemps",0.14,"Effect"
"123","Mortality","Effect",0.0885,"BothTemps",0.14,"Effect"
"124","Mortality","No Effect",0.9119,"BothTemps",0.14,"Effect"
"125","ReproductiveRate","Effect",0.1922,"BothTemps",0.14,"Effect"
"126","ReproductiveRate","No Effect",0.81,"BothTemps",0.14,"Effect"
"127","PopulationDecline","Increased",0.2464,"BothTemps",0.15,"Effect"
"128","PopulationDecline","None",0.527,"BothTemps",0.15,"Effect"
"129","PopulationDecline","Reduced",0.2264,"BothTemps",0.15,"Effect"
"130","Growth","Effect",0.2022,"BothTemps",0.15,"Effect"
"131","Growth","No Effect",0.7962,"BothTemps",0.15,"Effect"
"132","Mortality","Effect",0.0903,"BothTemps",0.15,"Effect"
"133","Mortality","No Effect",0.9078,"BothTemps",0.15,"Effect"
"134","ReproductiveRate","Effect",0.1928,"BothTemps",0.15,"Effect"
"135","ReproductiveRate","No Effect",0.804,"BothTemps",0.15,"Effect"
"136","PopulationDecline","Increased",0.2418,"BothTemps",0.16,"Effect"
"137","PopulationDecline","None",0.5318,"BothTemps",0.16,"Effect"
"138","PopulationDecline","Reduced",0.2275,"BothTemps",0.16,"Effect"
"139","Growth","Effect",0.2031,"BothTemps",0.16,"Effect"
"140","Growth","No Effect",0.8044,"BothTemps",0.16,"Effect"
"141","Mortality","Effect",0.0899,"BothTemps",0.16,"Effect"
"142","Mortality","No Effect",0.9017,"BothTemps",0.16,"Effect"
"143","ReproductiveRate","Effect",0.1965,"BothTemps",0.16,"Effect"
"144","ReproductiveRate","No Effect",0.811,"BothTemps",0.16,"Effect"
