"","X","PopSizes","Site","Lambda","Year","Type","FertilityA1","FertilityA2","SurvivalJuv","SurvivalA1","Iteration","RelativePopSize"
"1",342058,1.204819277,"Treasure Island",1.02535589273674,"1","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.117297485021422
"2",342059,40.1449481170392,"Treasure Island",1.02535589273674,"2","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.117439020557819
"3",342060,18.6468771304686,"Treasure Island",1.02535589273674,"3","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.134621374752336
"4",342061,32.474149664527,"Treasure Island",1.02535589273674,"4","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.123348251489725
"5",342062,25.426992280191,"Treasure Island",1.02535589273674,"5","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.132616343838025
"6",342063,30.7178390044024,"Treasure Island",1.02535589273674,"6","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.129599752133889
"7",342064,28.7551771201705,"Treasure Island",1.02535589273674,"7","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.134524412001194
"8",342065,31.1021647156787,"Treasure Island",1.02535589273674,"8","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.134497780373207
"9",342066,30.9360521837027,"Treasure Island",1.02535589273674,"9","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.137427042433912
"10",342067,32.2838733908528,"Treasure Island",1.02535589273674,"10","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.138433118469652
"11",342068,32.769980110985,"Treasure Island",1.02535589273674,"11","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.14049135310247
"12",342069,33.7970953524109,"Treasure Island",1.02535589273674,"12","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.141803115093246
"13",342070,34.5382673671715,"Treasure Island",1.02535589273674,"13","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.143463413257771
"14",342071,35.4823422032591,"Treasure Island",1.02535589273674,"14","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.144822559802157
"15",342072,36.3417079494076,"Treasure Island",1.02535589273674,"15","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.146279038672004
"16",342073,37.2869784832989,"Treasure Island",1.02535589273674,"16","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.147602829282957
"17",342074,38.2183817307791,"Treasure Island",1.02535589273674,"17","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.148938892479762
"18",342075,39.195729025749,"Treasure Island",1.02535589273674,"18","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.150208006564733
"19",342076,40.1846819243561,"Treasure Island",1.02535589273674,"19","Sensitivity",22.944373478771,56.6449546989043,0.0265884839024407,0.110349832709118,708,0.15146377240606
