"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"1","PopulationDecline","Increased",0.239,"AirTemperature",0.01,"Effect"
"2","PopulationDecline","None",0.533,"AirTemperature",0.01,"Effect"
"3","PopulationDecline","Reduced",0.2302,"AirTemperature",0.01,"Effect"
"4","Growth","Effect",0.2058,"AirTemperature",0.01,"Effect"
"5","Growth","No Effect",0.7943,"AirTemperature",0.01,"Effect"
"6","Mortality","Effect",0.0873,"AirTemperature",0.01,"Effect"
"7","Mortality","No Effect",0.9077,"AirTemperature",0.01,"Effect"
"8","ReproductiveRate","Effect",0.198,"AirTemperature",0.01,"Effect"
"9","ReproductiveRate","No Effect",0.8019,"AirTemperature",0.01,"Effect"
"10","PopulationDecline","Increased",0.2474,"AirTemperature",0.02,"Effect"
"11","PopulationDecline","None",0.5277,"AirTemperature",0.02,"Effect"
"12","PopulationDecline","Reduced",0.2229,"AirTemperature",0.02,"Effect"
"13","Growth","Effect",0.2121,"AirTemperature",0.02,"Effect"
"14","Growth","No Effect",0.8005,"AirTemperature",0.02,"Effect"
"15","Mortality","Effect",0.0927,"AirTemperature",0.02,"Effect"
"16","Mortality","No Effect",0.907,"AirTemperature",0.02,"Effect"
"17","ReproductiveRate","Effect",0.197,"AirTemperature",0.02,"Effect"
"18","ReproductiveRate","No Effect",0.8064,"AirTemperature",0.02,"Effect"
"19","PopulationDecline","Increased",0.2394,"AirTemperature",0.03,"Effect"
"20","PopulationDecline","None",0.5298,"AirTemperature",0.03,"Effect"
"21","PopulationDecline","Reduced",0.2295,"AirTemperature",0.03,"Effect"
"22","Growth","Effect",0.2038,"AirTemperature",0.03,"Effect"
"23","Growth","No Effect",0.7908,"AirTemperature",0.03,"Effect"
"24","Mortality","Effect",0.0874,"AirTemperature",0.03,"Effect"
"25","Mortality","No Effect",0.912,"AirTemperature",0.03,"Effect"
"26","ReproductiveRate","Effect",0.1954,"AirTemperature",0.03,"Effect"
"27","ReproductiveRate","No Effect",0.8105,"AirTemperature",0.03,"Effect"
"28","PopulationDecline","Increased",0.2453,"AirTemperature",0.04,"Effect"
"29","PopulationDecline","None",0.5327,"AirTemperature",0.04,"Effect"
"30","PopulationDecline","Reduced",0.227,"AirTemperature",0.04,"Effect"
"31","Growth","Effect",0.2024,"AirTemperature",0.04,"Effect"
"32","Growth","No Effect",0.7994,"AirTemperature",0.04,"Effect"
"33","Mortality","Effect",0.0914,"AirTemperature",0.04,"Effect"
"34","Mortality","No Effect",0.9139,"AirTemperature",0.04,"Effect"
"35","ReproductiveRate","Effect",0.1974,"AirTemperature",0.04,"Effect"
"36","ReproductiveRate","No Effect",0.8115,"AirTemperature",0.04,"Effect"
"37","PopulationDecline","Increased",0.2382,"AirTemperature",0.05,"Effect"
"38","PopulationDecline","None",0.5315,"AirTemperature",0.05,"Effect"
"39","PopulationDecline","Reduced",0.2243,"AirTemperature",0.05,"Effect"
"40","Growth","Effect",0.1979,"AirTemperature",0.05,"Effect"
"41","Growth","No Effect",0.8006,"AirTemperature",0.05,"Effect"
"42","Mortality","Effect",0.0873,"AirTemperature",0.05,"Effect"
"43","Mortality","No Effect",0.9108,"AirTemperature",0.05,"Effect"
"44","ReproductiveRate","Effect",0.193,"AirTemperature",0.05,"Effect"
"45","ReproductiveRate","No Effect",0.8097,"AirTemperature",0.05,"Effect"
"46","PopulationDecline","Increased",0.2361,"AirTemperature",0.06,"Effect"
"47","PopulationDecline","None",0.5266,"AirTemperature",0.06,"Effect"
"48","PopulationDecline","Reduced",0.2287,"AirTemperature",0.06,"Effect"
"49","Growth","Effect",0.2019,"AirTemperature",0.06,"Effect"
"50","Growth","No Effect",0.8011,"AirTemperature",0.06,"Effect"
"51","Mortality","Effect",0.0893,"AirTemperature",0.06,"Effect"
"52","Mortality","No Effect",0.9133,"AirTemperature",0.06,"Effect"
"53","ReproductiveRate","Effect",0.1926,"AirTemperature",0.06,"Effect"
"54","ReproductiveRate","No Effect",0.8098,"AirTemperature",0.06,"Effect"
"55","PopulationDecline","Increased",0.2349,"AirTemperature",0.07,"Effect"
"56","PopulationDecline","None",0.5384,"AirTemperature",0.07,"Effect"
"57","PopulationDecline","Reduced",0.2249,"AirTemperature",0.07,"Effect"
"58","Growth","Effect",0.207,"AirTemperature",0.07,"Effect"
"59","Growth","No Effect",0.805,"AirTemperature",0.07,"Effect"
"60","Mortality","Effect",0.0919,"AirTemperature",0.07,"Effect"
"61","Mortality","No Effect",0.9094,"AirTemperature",0.07,"Effect"
"62","ReproductiveRate","Effect",0.1931,"AirTemperature",0.07,"Effect"
"63","ReproductiveRate","No Effect",0.8049,"AirTemperature",0.07,"Effect"
"64","PopulationDecline","Increased",0.2406,"AirTemperature",0.08,"Effect"
"65","PopulationDecline","None",0.5281,"AirTemperature",0.08,"Effect"
"66","PopulationDecline","Reduced",0.2277,"AirTemperature",0.08,"Effect"
"67","Growth","Effect",0.2068,"AirTemperature",0.08,"Effect"
"68","Growth","No Effect",0.7956,"AirTemperature",0.08,"Effect"
"69","Mortality","Effect",0.0865,"AirTemperature",0.08,"Effect"
"70","Mortality","No Effect",0.9074,"AirTemperature",0.08,"Effect"
"71","ReproductiveRate","Effect",0.1998,"AirTemperature",0.08,"Effect"
"72","ReproductiveRate","No Effect",0.7991,"AirTemperature",0.08,"Effect"
"73","PopulationDecline","Increased",0.2435,"AirTemperature",0.09,"Effect"
"74","PopulationDecline","None",0.5316,"AirTemperature",0.09,"Effect"
