"","Node","Level","ProbabilityOutput","TestNode","ProbabilityInput","TestLevel"
"1","PopulationDecline","Increased",0.2305,"MPConc_AT",0.01,"Over 358/Effect"
"2","PopulationDecline","None",0.5405,"MPConc_AT",0.01,"Over 358/Effect"
"3","PopulationDecline","Reduced",0.2271,"MPConc_AT",0.01,"Over 358/Effect"
"4","Growth","Effect",0.2365,"MPConc_AT",0.01,"Over 358/Effect"
"5","Growth","No Effect",0.7662,"MPConc_AT",0.01,"Over 358/Effect"
"6","Mortality","Effect",0.1079,"MPConc_AT",0.01,"Over 358/Effect"
"7","Mortality","No Effect",0.8953,"MPConc_AT",0.01,"Over 358/Effect"
"8","ReproductiveRate","Effect",0.2003,"MPConc_AT",0.01,"Over 358/Effect"
"9","ReproductiveRate","No Effect",0.8,"MPConc_AT",0.01,"Over 358/Effect"
"10","PopulationDecline","Increased",0.2305,"MPConc_AT",0.02,"Over 358/Effect"
"11","PopulationDecline","None",0.5453,"MPConc_AT",0.02,"Over 358/Effect"
"12","PopulationDecline","Reduced",0.2199,"MPConc_AT",0.02,"Over 358/Effect"
"13","Growth","Effect",0.2319,"MPConc_AT",0.02,"Over 358/Effect"
"14","Growth","No Effect",0.7677,"MPConc_AT",0.02,"Over 358/Effect"
"15","Mortality","Effect",0.107,"MPConc_AT",0.02,"Over 358/Effect"
"16","Mortality","No Effect",0.8951,"MPConc_AT",0.02,"Over 358/Effect"
"17","ReproductiveRate","Effect",0.2012,"MPConc_AT",0.02,"Over 358/Effect"
"18","ReproductiveRate","No Effect",0.7987,"MPConc_AT",0.02,"Over 358/Effect"
"19","PopulationDecline","Increased",0.2355,"MPConc_AT",0.03,"Over 358/Effect"
"20","PopulationDecline","None",0.5451,"MPConc_AT",0.03,"Over 358/Effect"
"21","PopulationDecline","Reduced",0.2302,"MPConc_AT",0.03,"Over 358/Effect"
"22","Growth","Effect",0.2368,"MPConc_AT",0.03,"Over 358/Effect"
"23","Growth","No Effect",0.7618,"MPConc_AT",0.03,"Over 358/Effect"
"24","Mortality","Effect",0.1085,"MPConc_AT",0.03,"Over 358/Effect"
"25","Mortality","No Effect",0.8954,"MPConc_AT",0.03,"Over 358/Effect"
"26","ReproductiveRate","Effect",0.2047,"MPConc_AT",0.03,"Over 358/Effect"
"27","ReproductiveRate","No Effect",0.8013,"MPConc_AT",0.03,"Over 358/Effect"
"28","PopulationDecline","Increased",0.2289,"MPConc_AT",0.04,"Over 358/Effect"
"29","PopulationDecline","None",0.548,"MPConc_AT",0.04,"Over 358/Effect"
"30","PopulationDecline","Reduced",0.2187,"MPConc_AT",0.04,"Over 358/Effect"
"31","Growth","Effect",0.229,"MPConc_AT",0.04,"Over 358/Effect"
"32","Growth","No Effect",0.7747,"MPConc_AT",0.04,"Over 358/Effect"
"33","Mortality","Effect",0.113,"MPConc_AT",0.04,"Over 358/Effect"
"34","Mortality","No Effect",0.8907,"MPConc_AT",0.04,"Over 358/Effect"
"35","ReproductiveRate","Effect",0.1981,"MPConc_AT",0.04,"Over 358/Effect"
"36","ReproductiveRate","No Effect",0.7983,"MPConc_AT",0.04,"Over 358/Effect"
"37","PopulationDecline","Increased",0.2362,"MPConc_AT",0.05,"Over 358/Effect"
