"","results$pop.sizes","Site","Lambda","Year","Type","FertMP","JuvSurvMP","AdultSurvMP","MPImpact","Endpoint","MPConc"
"1",1.204819277,"Treasure Island",0.986626847763861,1,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"2",40.1332556238758,"Treasure Island",0.986626847763861,2,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"3",17.9620522122454,"Treasure Island",0.986626847763861,3,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"4",29.9545105483251,"Treasure Island",0.986626847763861,4,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"5",22.6681790023466,"Treasure Island",0.986626847763861,5,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"6",26.2453854953977,"Treasure Island",0.986626847763861,6,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"7",23.7083152197725,"Treasure Island",0.986626847763861,7,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"8",24.6229319880074,"Treasure Island",0.986626847763861,8,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"9",23.5997174154428,"Treasure Island",0.986626847763861,9,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"10",23.6750783817918,"Treasure Island",0.986626847763861,10,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"11",23.1381968802141,"Treasure Island",0.986626847763861,11,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"12",22.9528682460267,"Treasure Island",0.986626847763861,12,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"13",22.575996269257,"Treasure Island",0.986626847763861,13,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"14",22.3134772373875,"Treasure Island",0.986626847763861,14,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"15",21.9928813526554,"Treasure Island",0.986626847763861,15,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"16",21.711271630274,"Treasure Island",0.986626847763861,16,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"17",21.4138784230236,"Treasure Island",0.986626847763861,17,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"18",21.1314765978766,"Treasure Island",0.986626847763861,18,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"19",20.8466458568997,"Treasure Island",0.986626847763861,19,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"20",20.5691204254924,"Treasure Island",0.986626847763861,20,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"21",20.2933365908547,"Treasure Island",0.986626847763861,21,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"22",20.0223506481479,"Treasure Island",0.986626847763861,22,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"23",19.7543633781126,"Treasure Island",0.986626847763861,23,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"24",19.4903122197348,"Treasure Island",0.986626847763861,24,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"25",19.229593782756,"Treasure Island",0.986626847763861,25,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"26",18.9724737950457,"Treasure Island",0.986626847763861,26,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"27",18.7187293109616,"Treasure Island",0.986626847763861,27,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
"28",18.4684136856799,"Treasure Island",0.986626847763861,28,"Simulated",1,0.92,0.98,"Mean","Mortality","up to 69"
